,x,y,z,label,pi
0,86.17543793374287,-14.201022869852915,178.40736478177163,yes,pi1
1,-87.91998276807266,-39.383842344654596,-53.813517593308646,no,pi1
2,-87.91905817499003,-39.3693864655018,-53.731314401403544,no,pi1
3,-146.23466815032776,-13.944620663489605,74.14059095913181,no,pi1
4,-173.67086784616254,-32.84885573125107,-53.13649473944246,no,pi1
5,-151.73318828827135,-34.485186982114136,-53.35639392331463,no,pi1
6,9.517362628529744,-40.77303166578068,-17.880175072039016,no,pi1
7,-91.19048860711065,-33.07537540472106,-17.158018464452883,no,pi1
8,-216.9118009472151,-24.260107350749372,-20.8497568276758,no,pi1
9,-59.016147225801184,-41.55088019498841,-54.0960106326841,no,pi1
10,98.05037728979622,-32.5404510078254,72.37582813629173,no,pi1
11,122.97587760656377,-34.4938175636898,72.15247350120826,yes,pi1
12,22.270470426406302,-26.79411609740982,72.88045916931102,no,pi1
13,-56.01114481732114,-41.809561734756514,-53.964091989045954,no,pi1
14,-117.83098695416193,-37.08255179889997,-53.50671549850251,no,pi1
15,-60.99724951079971,-41.43741424942193,-53.92554521910809,no,pi1
16,-187.9042168190742,-25.718628515591273,-16.454052267325757,no,pi1
17,-30.574810278995052,-22.784475643964146,73.29271902272416,no,pi1
18,-168.95953034667176,-27.14098374612228,-16.582659238621325,no,pi1
19,-77.94838570093428,-40.14356688223732,-53.88919421626895,no,pi1
20,72.61051539671152,-51.5883687270124,-54.98248655336374,no,pi1
21,-68.46285816702292,-19.902028344749333,73.56796499560232,no,pi1
22,-82.30627263352746,-34.526054380794704,-21.8321036055977,no,pi1
23,-238.7572864168137,-21.872897240007827,-16.095667995448782,no,pi1
24,-224.5202446604253,-28.966953744555287,-52.832552783826955,no,pi1
25,-148.74260989273012,-34.751283477930095,-53.38058227656219,no,pi1
26,-35.07468446580128,-43.39315062699938,-54.12718306703678,no,pi1
27,24.752522845594733,-47.961570801957926,-54.55263797113142,no,pi1
28,233.1434637801708,-63.81066491797522,-56.044738364828845,no,pi1
29,21.482875184091334,-41.663725082397114,-17.97109660390185,no,pi1
30,-141.7609156077294,-35.256339464896875,-53.33400060083893,no,pi1
31,-169.6789129740368,-33.124761609259906,-53.13717621015765,no,pi1
32,30.719109720522113,-48.40977151440832,-54.68179087239599,no,pi1
