,x,y,z,label,pi
0,-81.93829756084486,-39.8298820794483,-53.867269232166606,no,pi1
1,-156.996199986028,-28.092080691498296,-16.675335015146185,no,pi1
2,-182.92133355817376,-26.116331210112055,-16.509196097933067,no,pi1
3,-85.93974998344332,-39.55111807437681,-53.84876681772246,no,pi1
4,-85.92688999799108,-39.54265337780652,-53.761842689613765,no,pi1
5,-49.31026241234788,-36.28147388863384,-17.452197038728574,no,pi1
6,-103.36161283458388,-17.260671683492646,73.84470884023185,yes,pi1
7,-85.92401764020065,-39.52547661249958,-53.74544455310291,no,pi1
8,-86.92196506854222,-39.42308167644284,-53.810808277448245,no,pi1
9,8.521070892183056,-40.69349478237171,-17.87635831573998,no,pi1
10,-199.59517185066446,-30.86905567875171,-52.94351965832322,no,pi1
11,-23.114665854949397,-44.34859727296249,-54.24058865720778,no,pi1
12,-239.7534517427106,-21.756432131614236,-16.08855922862988,no,pi1
13,-57.00873889217192,-41.71107213395596,-54.035213778932516,no,pi1
14,-222.52361998213203,-29.10042297540886,-52.75635769976962,no,pi1
15,-167.17679404015007,-12.376535523609256,74.27783830396831,no,pi1
16,-136.2644852191658,-14.725487756102313,74.06349421918698,no,pi1
17,-210.56339487289577,-29.998031050456945,-52.92935396664156,no,pi1
18,-179.9327745280079,-26.334229344683685,-16.533993854935858,no,pi1
19,-219.02312550610176,-8.446606079377744,74.65765838382616,no,pi1
20,-212.55488646376486,-29.887780455798623,-52.83142119789903,no,pi1
21,-96.2663840382268,-33.50020174635485,-21.739941727386203,no,pi1
22,-90.19008283205429,-33.15798636050531,-17.158193768821363,no,pi1
23,-10.150137163630385,-45.319580828277566,-54.32255778333554,no,pi1
24,-193.09942354350238,-10.394128847066524,74.4829582154184,no,pi1
25,-170.67651487965878,-33.06859656113497,-53.12933949883131,no,pi1
26,-55.502791244098766,-20.88604086548883,73.4696588406104,no,pi1
27,-221.81028507395456,-23.164302459201174,-16.248910250271408,no,pi1
28,-236.97475203151328,-7.089061466413961,74.75789273477395,no,pi1
29,-239.48374900508634,-27.82361240454505,-52.69423645830671,no,pi1
30,-87.9185058317049,-39.352463003798626,-53.80911412393712,no,pi1
31,-201.58548791622118,-30.701951785583116,-52.9045400350108,no,pi1
32,-251.8116183152925,-21.607705046100367,-20.605065407197852,no,pi1
33,-242.4583474621922,-19.18477202679675,-1.425120301895558,no,pi1
34,-161.19278189154187,-12.820489886467836,74.24682353861564,no,pi1
35,-91.18726362741393,-33.11157316893978,-17.160456211885233,no,pi1
36,-110.22567059915349,-32.4353050245682,-21.639515155421613,no,pi1
37,-146.23683752543783,-13.985430878870059,74.09250316099642,no,pi1
38,-223.01498621102914,-8.118230808675646,74.66583125082853,no,pi1
39,-102.15621081946576,-32.25146926835702,-17.06680112884161,no,pi1
40,-25.10412661687519,-44.19478427054799,-54.19544083437001,no,pi1
41,-31.362866519201333,-37.653614493020385,-17.58537699795062,no,pi1
42,-172.16259055754225,-12.018102936686809,74.30945092437665,no,pi1
43,-140.04446339696233,-29.367594712047026,-16.79999432266673,no,pi1
44,-29.36853285250969,-37.8143819757578,-17.604285536896924,no,pi1
45,-150.0180083440917,-28.609010149404533,-16.740283406211926,no,pi1
46,8.521065561739942,-40.682312336404884,-17.87305864334106,no,pi1
47,-99.37412543644187,-17.54985593896322,73.79334916300913,no,pi1
48,-152.77220604872227,-9.76624575751909,96.71514080610227,no,pi1
49,-198.08407682592878,-10.019453740977866,74.51024819181671,no,pi1
50,-89.91320366959243,-39.19594200888741,-53.79071260301499,no,pi1
51,-167.9646926569271,-27.234132927978823,-16.60391445835314,no,pi1
52,-90.91089524109792,-39.175377550688665,-53.71139231927044,no,pi1
53,-74.95676335497711,-40.37022834316324,-53.824355749978665,no,pi1
54,-126.80662543249657,-36.42783027401473,-53.4622950420781,no,pi1
55,-110.8527272129685,-37.640704478074724,-53.58637576790462,no,pi1
56,-231.49948328109514,-28.43720383586121,-52.70138136877008,no,pi1
57,-16.410818112876328,-38.781748291163964,-17.723786230716932,no,pi1
58,-129.79750555266196,-36.208589022402734,-53.43461187778775,no,pi1
59,-219.90333520637975,-24.037419976820797,-20.83542234518996,no,pi1
60,-154.73754692550426,-34.33669521755112,-53.3629467255966,no,pi1
61,-146.11995986861513,-29.696258820538706,-21.38160693560788,no,pi1
62,-122.30701033539071,-15.784145335718344,73.92562361162409,no,pi1
63,-184.63664639809056,-32.02094184086042,-53.03718139841508,no,pi1
64,-59.493534040213596,-20.584827017980356,73.4919540952193,no,pi1
65,-58.00656331802593,-41.660214606802555,-53.95985355566483,no,pi1
66,18.28248261281058,-26.513435334582564,72.93625445814419,no,pi1
67,-92.18545496850678,-33.041100619153696,-17.1593788935617,no,pi1
68,-64.98633845249172,-41.09728010721225,-53.97967367839326,no,pi1
69,-178.65348721664398,-32.45223376936344,-53.07085752529709,no,pi1
70,-200.8676691625903,-24.762061251882052,-16.363328247173204,no,pi1
71,19.2805835459096,-26.577614218006612,72.93809734936458,no,pi1
72,-158.20032467784472,-13.02518945097645,74.23753957609169,no,pi1
73,-164.69748681990845,-33.50321406146135,-53.19221723711176,no,pi1
74,30.247614311132068,-27.42949400417969,72.84614539226033,no,pi1
75,-45.417195304881886,-37.37657729254988,-22.117901590892497,no,pi1
76,22.385826331913975,-42.52690544377008,-22.618811008278676,no,pi1
77,-42.42334847003488,-37.60701988144905,-22.13376052384646,no,pi1
78,-72.96243722569947,-40.52240056253057,-53.837870832578865,no,pi1
79,-158.98902024487134,-27.91692250576334,-16.661294669386095,no,pi1
80,-126.80535981610208,-36.43529828646553,-53.452845108826374,no,pi1
81,-41.33760802174584,-36.908559239475856,-17.552809024004976,no,pi1
82,-124.1874112919017,-31.375359135974552,-21.55348866259726,no,pi1
83,25.261451901504312,-27.051957977979242,72.855381036089,no,pi1
84,-190.6211658576913,-31.57463145984637,-53.00599883149641,no,pi1
85,-219.53497578527595,-29.325656491348678,-52.7791528391171,no,pi1
86,-144.12584736389715,-29.862894470259462,-21.40256749138032,no,pi1
87,-52.02533252314909,-42.11692020784549,-53.98871626606905,no,pi1
88,18.282668831870517,-26.477966751934936,72.91054466358764,no,pi1
89,-88.91824227369963,-39.313453785798814,-53.82031837266154,no,pi1
90,-85.414040439173,-18.60139579868568,73.65771974408894,no,pi1
91,-83.93229538922706,-39.67567629250556,-53.84310605787581,no,pi1
92,38.4336078203389,-42.95765366156011,-18.085883610717165,no,pi1
93,-19.39627443485763,-38.52992328779808,-17.665575666135144,no,pi1
94,-135.78059926773912,-35.73320324395802,-53.47196367073029,no,pi1
95,-138.05037776656664,-29.478011498900717,-16.798333076594737,no,pi1
96,-203.06928287354017,-9.603556890065157,74.56159077430151,no,pi1
97,-65.9817126837842,-41.01736559941397,-53.87979868784089,no,pi1
98,-12.418257447588624,-39.062144150685675,-17.719945441089816,no,pi1
99,-128.28891968893137,-15.288906262614962,74.01096945139486,no,pi1
100,-6.159819051128293,-45.58730696176563,-54.4183056083435,no,pi1
101,-98.16737121919223,-32.56273623387199,-17.109852209807475,no,pi1
102,-6.162961173966652,-45.5988721090238,-54.42566247274437,no,pi1
103,-40.5455197031751,-22.038483057235442,73.3596496275066,no,pi1
104,-93.39139337240573,-17.975018379545993,73.78795866059957,no,pi1
105,-109.3454610173024,-16.796950918582127,73.82291287156932,no,pi1
106,-25.58885381411971,-23.169964042839638,73.26137854842271,no,pi1
107,-156.7180846168369,-34.11474997094995,-53.308438026707215,no,pi1
108,-188.62677100496046,-31.7331368523723,-53.023996204257756,no,pi1
