,x,y,z,label,pi
0,-127.29145673671191,-15.410655712321853,74.00341743838106,no,pi1
1,-95.89563336069033,-38.77260443808329,-53.67169005466418,no,pi1
2,-175.6647725293124,-32.664224734412436,-53.09660951235716,no,pi1
3,-127.08400501367748,-30.378251862924348,-16.90113940168833,no,pi1
4,-171.67696881051307,-33.00551521887367,-53.144140129108656,no,pi1
5,-66.2624316207191,-35.002058474431315,-17.352563674920603,no,pi1
6,-52.024948208619875,-42.114962101101746,-54.08143231886037,no,pi1
7,-78.95174965597143,-40.073783501717536,-53.844631442929995,no,pi1
8,-26.09936297737703,-44.08138850056143,-54.174243912911194,no,pi1
9,-214.55874620462933,-29.730692701555988,-52.95792561862132,no,pi1
10,-169.9574041251023,-27.08516311004115,-16.58734837117008,no,pi1
11,-176.15561102313544,-11.708652891558046,74.31321661427398,no,pi1
12,-95.38486599540983,-17.860341521999427,73.79296647993128,no,pi1
13,-129.80315581113524,-36.195580644974676,-53.476083934152804,no,pi1
14,-177.6572658211534,-32.521817896036396,-53.086136335141575,no,pi1
15,-180.65504352998832,-32.320182339500086,-53.10556682542186,no,pi1
16,-168.6850466032344,-33.237615499918405,-53.164010999063706,no,pi1
17,-81.42564812937438,-18.872813249067868,73.67302628479813,no,pi1
18,-135.78028634173404,-35.73451205030868,-53.39376013830448,no,pi1
19,-155.72128449113893,-34.20245521145033,-53.23784041760375,no,pi1
20,-44.32457068216614,-36.62309091991433,-17.48561675409319,no,pi1
21,-152.73066755377846,-34.4444979860592,-53.2774638174134,no,pi1
22,-126.80461120145473,-36.42778825992105,-53.45349566295891,no,pi1
23,-159.71069012498702,-33.86705708191756,-53.29269213821719,no,pi1
24,-141.1344241183206,-30.087700592670753,-21.413233579578872,no,pi1
25,-29.58095235018698,-22.851413369834862,73.26927712843248,no,pi1
26,-175.6616245559012,-32.69968885726536,-53.097393963101354,no,pi1
27,-79.9421357798671,-39.973956326331425,-53.781698820931666,no,pi1
28,-87.40784090069954,-18.464410263585844,73.70610472845019,no,pi1
29,-93.90110106341662,-38.90312785974316,-53.767849246594515,no,pi1
30,51.18637232747435,-29.010045221831206,72.70905636708534,no,pi1
31,-200.08051967641936,-9.86001581440229,74.51280423661973,no,pi1
32,-168.96035731304647,-27.152780105406027,-16.593980275979952,no,pi1
33,27.463778103960998,-42.1415059010041,-18.01516228420396,no,pi1
34,-57.28628295378301,-35.64023057208392,-17.38709395252038,no,pi1
35,-134.78320452285817,-35.78819991691361,-53.47297135313563,no,pi1
36,-104.36149735528639,-17.155197074195776,73.78614105600467,no,pi1
37,-55.01878020983207,-41.87673090275349,-54.06142716369662,no,pi1
38,-161.1927534431725,-12.83409682662829,74.23973747651009,no,pi1
39,-127.80202968480494,-36.33336322301054,-53.446661871859405,no,pi1
40,-97.26361140249182,-33.432566457867814,-21.746569141634534,no,pi1
41,-197.59741862920924,-31.014514151825452,-52.941804752421085,no,pi1
42,-119.86784365840798,-12.195396211234637,96.38456618424644,no,pi1
43,-155.72121470523572,-34.222202895901496,-53.32554504939833,no,pi1
44,-245.74957601423776,-21.34063835264252,-16.137331214436873,no,pi1
45,-34.07625660068497,-43.45480982155954,-54.12355407124424,no,pi1
46,-220.53078617430518,-29.294282074834356,-52.784969791000215,no,pi1
47,-194.60780132279373,-31.24506056781643,-52.96575874016876,no,pi1
48,-11.420161009791093,-39.1734224477774,-17.734623610152084,no,pi1
49,12.299901948359242,-26.043193683540345,72.95479871442194,no,pi1
50,-86.92078593574844,-39.44850781734675,-53.739011150570086,no,pi1
51,-100.1635565656698,-32.430764011520615,-17.102382780503394,no,pi1
52,-18.12313520492912,-44.708004908624574,-54.250465683294706,no,pi1
53,-93.90077586593819,-38.920906120406485,-53.68882750176762,no,pi1
54,-92.90764460303812,-38.99553049763908,-53.79807755207237,no,pi1
55,-212.92336962040952,-24.579552620984806,-20.884299642334188,no,pi1
56,-172.67100741975975,-32.933254778467564,-53.11888848057645,no,pi1
57,-241.84260035966216,-22.4189497666579,-20.710118779121046,no,pi1
58,-196.09295371458225,-10.168241227180816,74.47823613152174,no,pi1
59,-8.638692932472736,-24.451411936874482,73.10568150184693,no,pi1
60,6.803191479730954,-46.57974973075769,-54.509750482259534,no,pi1
61,-75.4430640148746,-19.36362888627563,73.6282805880424,no,pi1
62,-63.98835434363545,-41.186806831592406,-53.98664068114411,no,pi1
63,-138.7728840285857,-35.52420816646268,-53.380970462228255,no,pi1
64,-105.35503834142193,-17.077490123969277,73.80288412400202,no,pi1
65,9.517234177911055,-40.7832579422645,-17.88342564900224,no,pi1
66,-145.1224360425759,-29.7549468776657,-21.377634879277995,no,pi1
67,-138.77082265350083,-35.472441651378354,-53.361731546481835,no,pi1
68,-217.8237481009969,-23.449158487658526,-16.2765152750564,no,pi1
69,-90.9118365469658,-39.14403954849274,-53.794242446478464,no,pi1
70,-153.0066133377249,-28.38557997679276,-16.706242215020875,no,pi1
71,-202.58515354333957,-30.62607605054484,-52.912538586085695,no,pi1
72,-222.52623993731632,-29.147666021317036,-52.76502038288969,no,pi1
73,-175.66221401562302,-32.688197538805035,-53.10711093521892,no,pi1
74,-32.5685382911995,-22.634793688588655,73.30376802116758,no,pi1
75,-167.17534480346225,-12.357142504853643,74.28238883558122,no,pi1
76,-60.00013982498945,-41.51127386198049,-53.93920685533269,no,pi1
77,-83.42036926530692,-18.782735728421933,73.6384699215546,no,pi1
78,-1.175136010396463,-45.95266670986664,-54.44601088667442,no,pi1
79,-107.85980498801858,-37.847669025408436,-53.58291356326815,no,pi1
80,-194.60679666048154,-31.275844406598114,-52.96581389046382,no,pi1
81,-162.18894909928107,-12.743348334904452,74.26168714551994,no,pi1
82,-62.993176351278976,-41.27211589955491,-53.91615160648536,no,pi1
83,-89.91309236593311,-39.242158053677656,-53.7198211966906,no,pi1
84,-11.6288385691305,-24.19938097765381,73.16993987669476,no,pi1
85,-17.40345327695001,-38.72812108947423,-17.69074993215064,no,pi1
86,-157.2087358082849,-13.16913748072706,74.14819814546104,no,pi1
87,-164.69418188668936,-33.54162579774314,-53.1785828858486,no,pi1
88,-213.04132646659974,-8.887079239641364,74.61973978163138,no,pi1
89,-104.3566852096419,-17.089481144276647,73.81732858357655,no,pi1
90,-78.94757668375597,-40.068043808998894,-53.8812403414476,no,pi1
91,26.466754128918506,-42.06647079261798,-18.018480260112973,no,pi1
92,-156.71760891706919,-34.12527866646885,-53.24192904881141,no,pi1
93,-207.5761685295903,-30.268295491862713,-52.98115988264787,no,pi1
94,-53.29831522965569,-36.001622366699316,-17.435363672428885,no,pi1
95,-90.28298580694923,-33.94496419778354,-21.78160485100229,no,pi1
96,-63.27021553791084,-35.22687455608047,-17.363108231487203,no,pi1
97,-49.033452054533115,-42.32401942286195,-54.08672861899652,no,pi1
98,14.29378077581407,-26.213478431382836,72.96602584810816,no,pi1
99,-181.1348131315781,-11.33957268112599,74.40753200294584,no,pi1
100,-23.114665854949397,-44.34859727296249,-54.24058865720778,no,pi1
101,-149.01868954048047,-28.67766664362089,-16.728390365358877,no,pi1
102,-72.24214232833782,-34.53386039469497,-17.293051200284268,no,pi1
103,-121.81943284544148,-36.80961730211654,-53.48898084797843,no,pi1
104,-145.03050080997653,-28.99511714804151,-16.763296063858665,no,pi1
105,-77.9479666968202,-40.147385800452206,-53.80962280712617,no,pi1
106,-74.9577625388033,-40.396198891834054,-53.842271878866434,no,pi1
107,-141.7621031997475,-35.26794410980944,-53.42248602315023,no,pi1
108,-209.56935369947612,-30.125784243628566,-52.97540565966455,no,pi1
109,-187.9054188117686,-25.730772350500548,-16.452014271620694,no,pi1
110,3.8126929704173147,-46.33191709124977,-54.391355012950854,no,pi1
111,-24.107341798779352,-44.23788570706438,-54.276891028374045,no,pi1
112,-193.61740051344037,-31.333045323408122,-53.09010297147543,no,pi1
113,-103.36121350788292,-17.254593024296977,73.82069706164368,no,pi1
114,-176.93826334383672,-26.56044776908198,-16.544218489090085,no,pi1
115,-175.15170848217056,-11.77005347921792,74.37171535981479,no,pi1
116,-80.94087233207277,-39.918015515552135,-53.871516487841106,no,pi1
117,-139.76663885353747,-35.39970282509516,-53.34366573232451,no,pi1
118,-157.20603269563648,-13.13753609423248,74.20914019649297,no,pi1
119,19.468514933320037,-41.526213047860324,-18.088772875008264,no,pi1
120,-222.5283692754187,-29.10769843131122,-52.86147652685145,no,pi1
121,-190.659688244198,-6.806598585499119,97.00818746405696,no,pi1
122,-125.8088488902158,-36.51854721233282,-53.459556101517585,no,pi1
123,-239.4792303726583,-27.84905458207174,-52.66173431012193,no,pi1
124,-79.43170017312549,-19.060209965639977,73.61545930663256,no,pi1
125,-181.64441104840424,-32.21914150204711,-53.04893413271704,no,pi1
126,-156.20629198252988,-13.216434075171689,74.20504496350073,no,pi1
127,-52.06657154474096,-17.424420051275582,95.99196129480376,no,pi1
128,-97.17225302172163,-32.65493706204213,-17.123701934123115,no,pi1
129,-188.62341058689503,-31.674290582419836,-53.08202485054077,no,pi1
130,-91.18726362741393,-33.11157316893978,-17.160456211885233,no,pi1
131,-77.94971274875512,-40.170344804981966,-53.827069521152566,no,pi1
132,-90.91064778179533,-39.13285067702747,-53.71530031722739,no,pi1
133,-52.025031026907975,-42.1117158108534,-54.0787449001624,no,pi1
134,-77.94967150843672,-40.144589150128986,-53.82125483572258,no,pi1
135,-153.7263879938187,-34.38238267134787,-53.25587637898953,no,pi1
136,-144.75423951094965,-35.06258825252529,-53.41185055019219,no,pi1
137,-110.85832629037328,-37.61616733980065,-53.684686538965344,no,pi1
138,-217.54053765346734,-29.498335649074978,-52.79541396492919,no,pi1
139,-89.40647580351929,-18.30168384162368,73.69304147560662,no,pi1
140,-54.50434611072958,-20.92404352746276,73.47988975314219,no,pi1
141,-14.620066182805532,-24.000490607393303,73.18334079613547,no,pi1
