x,y,z,label,pi
-105.15009916513286,-32.01271043473904,-17.06623088770683,no,pi1
6.52707584742702,-40.52183839868283,-17.85452110038475,no,pi1
-207.0591770992228,-9.331492339606497,74.57985293315424,no,pi1
-251.92915806623188,-5.924583526457894,74.8536240027464,no,pi1
-2.4535457372899887,-39.867836397374944,-17.838878236044838,no,pi1
-12.37508685126982,973.2756171930008,1.845683799046268,yes,pi1
150.48220860998728,951.953295240642,2.19081191799775,yes,pi1
-1.4496647069115494,-39.92519766471083,-17.802692192439384,no,pi1
-88.40491341913686,-18.38077719690544,73.71752052280868,no,pi1
-160.19767645199545,-12.925059868828502,74.22712250385094,no,pi1
-78.22762564845347,-34.093924581857024,-17.26735251818262,no,pi1
-183.0116339730052,-26.86271211113622,-21.10180528364715,no,pi1
-79.31381986139391,-34.76068459151912,-21.854723367478712,no,pi1
-2.6568215350716926,-24.92791673432,73.05279039441467,no,pi1
-129.07755747672465,-30.21142060911646,-16.884566855667106,no,pi1
-141.2509025183317,-14.359218692646484,74.09357770072123,no,pi1
-6.644716128009857,-24.62375970753448,73.11415484571435,no,pi1
-162.07217338188093,-28.482461258980813,-21.26108411732761,no,pi1
-0.9036462357651548,-10.329416196910412,162.13732017119534,yes,pi1
-177.14358569958506,-11.52744233781659,74.40262836525758,no,pi1
-41.78500424392725,-7.223900022751659,162.3757455707803,yes,pi1
-138.05128770525292,-29.531437479614443,-16.82088354183852,no,pi1
-173.66811263168927,-32.87680604824177,-53.1189587891306,no,pi1
21.390316534693085,-42.447088202069104,-22.5932586546361,no,pi1
-182.64280865797704,-32.16999757980398,-53.13156530614325,no,pi1
-237.4901906899861,-27.98190434802698,-52.70869184641103,no,pi1
29.83485940101085,-14.05428495356367,153.20209941239688,yes,pi1
4.53226350498357,-40.374199014694014,-17.850577302605338,no,pi1
15.290717689787462,-26.290016350213488,72.96833836983625,no,pi1
-160.70541162477764,-33.8316630128752,-53.20297409258146,no,pi1
101.75351087625695,952.8187706573664,-88.51021368691248,yes,pi1
-43.53764661229784,-21.824130453112726,73.34079869192402,yes,pi1
-203.5810283019128,-30.603317094934365,-52.902985157756206,no,pi1
-118.10864008276818,-31.0366473772066,-16.967368601013128,no,pi1
24.76506070621941,982.7237534595658,45.42724233315744,yes,pi1
206.46153001179172,961.317632039468,16.813092074085752,yes,pi1
-65.88502652511316,-6.791327819898114,153.92589913032813,yes,pi1
55.38195319281263,-44.2411588499225,-18.22335824068424,no,pi1
239.2229687233837,-30.042101749322388,151.7231000301496,yes,pi1
-76.44082795214742,-19.28798732347656,73.59832331446079,no,pi1
-104.24318845621949,-32.89811387772441,-21.685948533774624,no,pi1
-178.1449784923915,-11.54847552096578,74.31894138363359,no,pi1
-171.6799747197468,-33.00979043605709,-53.175433475175765,no,pi1
-125.08948895215728,-30.526446050177537,-16.91818835104586,no,pi1
