model_node,model,train_time,optimisation_time,model_r2,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,kernel,experiment,std,asmmd
pi2,"SVR(C=10, epsilon=0.5)",0.02,0.81,0.99,pi4,0.1,0.8875590404134013,0.9572176214923476,0.14,0.62,rbf,1,False,0.14399631321430206
pi4,"SVR(C=10, epsilon=0.5)",0.03,0.89,0.96,pi2,0.02,0.9382157323932827,0.990973298577686,0.14,0.87,rbf,1,False,0.14399631321430206
pi2,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.02,3.79,0.99,pi4,0.07,0.9164928304442173,0.9185572446578003,0.14,0.62,linear,1,False,0.14399631321430206
pi4,"SVR(C=10, epsilon=2, kernel='linear')",0.17,6.2,0.92,pi2,0.06,0.9830347166701362,0.9889709666960195,0.14,0.87,linear,1,False,0.14399631321430206
pi2,"SVR(C=10, epsilon=2)",0.01,0.78,0.31,pi4,0.17,0.14177269461185682,0.46763309223064087,0.2,0.33,rbf,2,False,0.21351364254951477
pi4,"SVR(C=10, epsilon=1)",0.02,0.97,0.47,pi2,1.07,-0.6003499736442226,0.30695165210013287,0.2,0.8,rbf,2,False,0.21351364254951477
pi2,"SVR(C=0.1, epsilon=1, kernel='linear')",0.01,1.28,0.2,pi4,0.26,-0.055622428386534084,0.08022067628812735,0.2,0.33,linear,2,False,0.21351364254951477
pi4,"SVR(C=10, epsilon=2, kernel='linear')",0.06,1.16,0.08,pi2,0.08,0.16265767197212888,0.20147425031782584,0.2,0.8,linear,2,False,0.21351364254951477
pi2,SVR(),0.01,0.23,0.92,pi4,2.6,-1.6836165036857684,0.987703734611203,0.38,0.31,rbf,3,False,0.37767118215560913
pi4,SVR(C=10),0.01,0.27,0.99,pi2,0.78,0.2046908064850873,0.9195254595118186,0.38,0.38,rbf,3,False,0.37767118215560913
pi2,SVR(kernel='linear'),0.01,0.25,0.91,pi4,0.01,0.9267811141791619,0.9847373252220044,0.38,0.31,linear,3,False,0.37767118215560913
pi4,"SVR(C=10, epsilon=0.5, kernel='linear')",0.03,0.75,0.98,pi2,0.11,0.8734202554214241,0.9145277715291724,0.38,0.38,linear,3,False,0.37767118215560913
