model_node,model,model_r2,train_time,optimisation_time,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,kernel,experiment,std,asmmd
pi2,"SVR(C=10, epsilon=0.5)",0.99,0.12,3.98,pi4,0.09,0.9033721002826892,0.958265500577247,0.16,0.64,rbf,1,False,0.1500738263130188
pi4,SVR(C=10),0.96,0.23,4.74,pi2,0.04,0.9155899982305878,0.9901879822420974,0.16,0.86,rbf,1,False,0.1500738263130188
pi2,"SVR(C=10, epsilon=1, kernel='linear')",0.99,0.28,25.06,pi4,0.07,0.9208357390942793,0.9236651042348134,0.16,0.64,linear,1,False,0.1500738263130188
pi4,"SVR(C=10, epsilon=2, kernel='linear')",0.92,0.73,36.27,pi2,0.06,0.9819311174420328,0.9870315355678021,0.16,0.86,linear,1,False,0.1500738263130188
pi2,"SVR(C=10, epsilon=5)",0.34,0.02,2.89,pi4,0.5,-0.16026767033631772,0.48505744649767757,0.19,0.44,rbf,2,False,0.1929965317249298
pi4,"SVR(C=10, epsilon=2)",0.49,0.08,3.8,pi2,0.95,-0.46335169210681504,0.3356283840610582,0.19,0.79,rbf,2,False,0.1929965317249298
pi3,"SVR(C=10, epsilon=2)",0.51,0.04,3.0,pi5,1.17,-0.6554691038276501,0.8506705678017839,0.19,1.0,rbf,2,False,0.1929965317249298
pi5,SVR(C=10),0.85,0.11,2.1,pi3,0.91,-0.0553143010658399,0.5140713682619473,0.19,0.44,rbf,2,False,0.1929965317249298
pi2,"SVR(C=1, epsilon=2, kernel='linear')",0.22,0.06,5.15,pi4,0.41,-0.18931554812344387,0.09666351496789305,0.19,0.44,linear,2,False,0.1929965317249298
pi4,"SVR(C=10, epsilon=2, kernel='linear')",0.1,0.23,5.52,pi2,0.11,0.20678045208662166,0.21693392629102037,0.19,0.79,linear,2,False,0.1929965317249298
pi3,"SVR(C=0.1, epsilon=2, kernel='linear')",0.38,0.02,5.67,pi5,0.01,0.3917401432584092,0.7226870348544261,0.19,1.0,linear,2,False,0.1929965317249298
pi5,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.72,0.04,4.17,pi3,0.55,0.1769932698192167,0.3826277291068606,0.19,0.44,linear,2,False,0.1929965317249298
pi2,SVR(),0.94,0.05,1.02,pi4,2.65,-1.7104484970769995,0.9890403104064324,0.32,0.28,rbf,3,False,0.32934606075286865
pi4,SVR(C=10),0.99,0.05,1.28,pi2,1.16,-0.16830607047485113,0.9403812070685927,0.32,0.44,rbf,3,False,0.32934606075286865
pi2,"SVR(C=0.01, kernel='linear')",0.94,0.02,1.33,pi4,0.02,0.9234366515958998,0.9854822658275806,0.32,0.28,linear,3,False,0.32934606075286865
pi4,SVR(kernel='linear'),0.99,0.1,3.78,pi2,0.08,0.9102604174130418,0.9413619903711069,0.32,0.44,linear,3,False,0.32934606075286865
