model_node,model,train_time,optimisation_time,model_r2,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,kernel,experiment,std,asmmd
pi2,SVR(C=10),0.02,0.36,0.99,pi3,0.06,0.929181241246447,0.9801918117174474,0.04,0.79,rbf,1,True,0.05406566460927328
pi3,SVR(),0.02,0.39,0.98,pi2,0.05,0.9259179120852754,0.9914867393173136,0.04,0.64,rbf,1,True,0.05406566460927328
pi2,"SVR(C=0.1, kernel='linear')",0.01,0.27,0.99,pi3,0.06,0.9296161594462107,0.9294900853035587,0.04,0.79,linear,1,True,0.05406566460927328
pi3,"SVR(C=10, kernel='linear')",0.03,0.38,0.93,pi2,0.06,0.9856534721548708,0.9884073917125115,0.04,0.64,linear,1,True,0.05406566460927328
pi2,"SVR(C=10, epsilon=1)",0.01,0.45,0.34,pi3,0.07,0.411638878772153,0.5618782018419027,0.03,0.34,rbf,2,True,0.03702614704767863
pi3,"SVR(C=10, epsilon=0.5)",0.01,0.44,0.56,pi2,0.24,0.31842310817370634,0.34324698431523737,0.03,0.78,rbf,2,True,0.03702614704767863
pi3,"SVR(C=10, epsilon=0.5)",0.01,0.44,0.56,pi5,0.37,0.19513265674001856,0.42284915834806525,0.02,0.79,rbf,2,True,0.03702614704767863
pi5,SVR(C=10),0.04,0.46,0.42,pi3,0.04,0.38761304146151876,0.5618782018419027,0.02,0.9,rbf,2,True,0.03702614704767863
pi2,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.01,0.6,0.24,pi3,0.17,0.4103026190131731,0.42712403931804477,0.03,0.34,linear,2,True,0.03702614704767863
pi3,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.0,0.43,0.43,pi2,0.18,0.24381460260926013,0.2398184974161175,0.03,0.78,linear,2,True,0.03702614704767863
pi3,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.0,0.43,0.43,pi5,0.11,0.3121870617756155,0.3152478033877577,0.02,0.79,linear,2,True,0.03702614704767863
pi5,SVR(kernel='linear'),0.02,0.69,0.32,pi3,0.11,0.4242512829048115,0.42712403931804477,0.02,0.9,linear,2,True,0.03702614704767863
pi2,SVR(C=10),0.01,0.26,0.96,pi4,0.02,0.9761716091128652,0.9895241295032806,0.02,0.94,rbf,3,True,0.02577337622642517
pi4,SVR(C=10),0.0,0.19,0.99,pi2,0.04,0.9524798239966027,0.9587937546680487,0.02,0.76,rbf,3,True,0.02577337622642517
pi2,SVR(kernel='linear'),0.0,0.15,0.96,pi4,0.03,0.985735410039568,0.9849272534859629,0.02,0.94,linear,3,True,0.02577337622642517
pi4,SVR(kernel='linear'),0.0,0.19,0.98,pi2,0.03,0.9567874095282961,0.9566190785607699,0.02,0.76,linear,3,True,0.02577337622642517
