model_node,model,model_r2,train_time,optimisation_time,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,kernel,experiment,std,asmmd
pi2,SVR(C=10),0.99,0.04,0.64,pi3,0.07,0.9263186218758263,0.9820109489341029,0.04,0.74,rbf,1,True,0.048195997873942055
pi3,SVR(),0.98,0.04,0.72,pi2,0.05,0.9331600197159372,0.9915732738008689,0.04,0.62,rbf,1,True,0.048195997873942055
pi3,SVR(),0.98,0.04,0.72,pi4,0.11,0.8709606459082003,0.9636242673097055,0.04,0.34,rbf,1,True,0.048195997873942055
pi4,SVR(C=10),0.96,0.05,0.62,pi3,0.03,0.937942063948673,0.9820109489341029,0.04,0.94,rbf,1,True,0.048195997873942055
pi2,SVR(kernel='linear'),0.99,0.02,0.61,pi3,0.06,0.9307473059872307,0.9301850893594581,0.04,0.74,linear,1,True,0.048195997873942055
pi3,SVR(kernel='linear'),0.93,0.03,0.68,pi2,0.06,0.9869804625976786,0.9891139552076436,0.04,0.62,linear,1,True,0.048195997873942055
pi3,SVR(kernel='linear'),0.93,0.03,0.68,pi4,0.0,0.9329105208884535,0.9284089833983837,0.04,0.34,linear,1,True,0.048195997873942055
pi4,SVR(kernel='linear'),0.93,0.01,0.58,pi3,0.0,0.9262827512873736,0.9301850893594581,0.04,0.94,linear,1,True,0.048195997873942055
pi2,"SVR(C=0.1, epsilon=0.5)",0.27,0.01,0.69,pi3,0.05,0.32171350607641547,0.6348178582801256,0.02,0.35,rbf,2,True,0.0313639243443807
pi3,"SVR(C=10, epsilon=0.5)",0.63,0.02,1.04,pi2,0.81,-0.17858800276390085,0.27002964104032656,0.02,0.79,rbf,2,True,0.0313639243443807
pi3,"SVR(C=10, epsilon=0.5)",0.63,0.02,1.04,pi5,0.73,-0.09781768886210251,0.3896565048458215,0.03,0.83,rbf,2,True,0.0313639243443807
pi5,"SVR(C=10, epsilon=0.5)",0.39,0.01,0.74,pi3,0.08,0.30903507832035315,0.6348178582801256,0.03,0.84,rbf,2,True,0.0313639243443807
pi2,"SVR(C=10, epsilon=0.5, kernel='linear')",0.21,0.02,0.85,pi3,0.12,0.3310111871772824,0.4073415526919022,0.02,0.35,linear,2,True,0.0313639243443807
pi3,"SVR(C=1, epsilon=0.5, kernel='linear')",0.41,0.01,0.6,pi2,0.2,0.2025663723123049,0.21372551406060902,0.02,0.79,linear,2,True,0.0313639243443807
pi3,"SVR(C=1, epsilon=0.5, kernel='linear')",0.41,0.01,0.6,pi5,0.09,0.3128233802869622,0.3182279188495609,0.03,0.83,linear,2,True,0.0313639243443807
pi5,"SVR(C=10, kernel='linear')",0.32,0.13,1.01,pi3,0.06,0.3822082710642295,0.4073415526919022,0.03,0.84,linear,2,True,0.0313639243443807
pi2,SVR(),0.96,0.02,0.36,pi4,0.02,0.9787365179439795,0.9901846152681772,0.03,0.95,rbf,3,True,0.02509024739265442
pi4,SVR(C=10),0.99,0.01,0.36,pi2,0.04,0.947678287510175,0.9551022871966638,0.03,0.77,rbf,3,True,0.02509024739265442
pi2,"SVR(C=10, kernel='linear')",0.96,0.02,0.29,pi4,0.03,0.9858910497336649,0.9850840258211017,0.03,0.95,linear,3,True,0.02509024739265442
pi4,SVR(kernel='linear'),0.99,0.01,0.35,pi2,0.03,0.9550210905694096,0.9562677253644365,0.03,0.77,linear,3,True,0.02509024739265442
