,model_r2,train_time,optimisation_time,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,asmmd,balanced,model_node,test_node
0,0.87,0.04,1.98,0.02,0.86,0.86,0.29,0.01,0.49,True,pi1,pi2
1,0.92,0.05,4.79,0.01,0.92,0.92,0.07,0.0,0.11,False,pi1,pi2
2,0.86,0.03,1.95,0.02,0.86,0.87,0.29,0.13,0.49,True,pi2,pi1
3,0.92,0.05,4.59,0.01,0.91,0.92,0.07,0.06,0.11,False,pi2,pi1
4,0.87,0.04,1.98,0.02,0.86,0.87,0.25,0.01,0.53,True,pi1,pi3
5,0.92,0.05,5.43,0.01,0.91,0.92,0.06,0.0,0.12,False,pi1,pi3
6,0.87,0.03,2.0,0.01,0.87,0.87,0.25,0.09,0.53,True,pi3,pi1
7,0.92,0.06,4.02,0.01,0.91,0.92,0.06,0.04,0.12,False,pi3,pi1
8,0.86,0.04,2.02,0.02,0.86,0.86,0.32,0.98,0.54,True,pi2,pi3
9,0.92,0.05,4.4,0.01,0.91,0.92,0.07,0.99,0.12,False,pi2,pi3
10,0.86,0.03,2.05,0.02,0.85,0.86,0.32,0.96,0.54,True,pi3,pi2
11,0.92,0.06,4.19,0.01,0.92,0.92,0.07,0.98,0.12,False,pi3,pi2
12,0.71,0.04,2.16,0.01,0.71,0.72,0.29,0.08,0.54,True,pi4,pi5
13,0.72,0.04,2.2,0.02,0.73,0.73,0.18,0.02,0.19,False,pi4,pi5
14,0.72,0.04,2.13,0.01,0.71,0.71,0.29,0.01,0.54,True,pi5,pi4
15,0.73,0.04,2.18,0.02,0.71,0.72,0.18,0.0,0.19,False,pi5,pi4
