model_node,model,model_r2,train_time,optimisation_time,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,asmmd,balanced
pi3,LogisticRegression(max_iter=100000),0.98,0.06,2.97,pi4,0.0,0.9880952380952381,0.9880952380952381,38.27,0.0,40.96689453125,False
pi3,LogisticRegression(max_iter=100000),0.98,0.06,2.97,pi5,0.0,0.9829369183040331,0.9829369183040331,38.57,0.0,40.96689453125,False
pi3,LogisticRegression(max_iter=100000),0.98,0.06,2.97,pi6,0.0,0.9870600414078675,0.9870600414078675,36.31,0.0,40.96689453125,False
pi3,LogisticRegression(max_iter=100000),0.98,0.06,2.97,pi7,0.0,0.9813760993274703,0.9813760993274703,40.21,0.0,40.96689453125,False
pi3,LogisticRegression(max_iter=100000),0.98,0.06,2.97,pi8,0.35,0.6383859286083807,0.686497672012416,35.9,0.0,40.96689453125,False
pi4,LogisticRegression(max_iter=100000),0.99,0.08,3.59,pi3,0.0,0.9839544513457557,0.9839544513457557,38.27,0.0,40.96689453125,False
pi4,LogisticRegression(max_iter=100000),0.99,0.08,3.59,pi5,0.01,0.9829369183040331,0.9829369183040331,34.39,0.98,40.96689453125,False
pi4,LogisticRegression(max_iter=100000),0.99,0.08,3.59,pi6,0.0,0.9870600414078675,0.9870600414078675,34.14,0.98,40.96689453125,False
pi4,LogisticRegression(max_iter=100000),0.99,0.08,3.59,pi7,0.01,0.9813760993274703,0.9813760993274703,39.35,0.99,40.96689453125,False
pi4,LogisticRegression(max_iter=100000),0.99,0.08,3.59,pi8,0.35,0.6425245732022763,0.686497672012416,32.76,0.98,40.96689453125,False
pi5,LogisticRegression(max_iter=100000),0.98,0.07,2.84,pi3,0.0,0.9839544513457557,0.9839544513457557,38.57,0.0,40.96689453125,False
pi5,LogisticRegression(max_iter=100000),0.98,0.07,2.84,pi4,0.01,0.9880952380952381,0.9880952380952381,34.39,0.98,40.96689453125,False
pi5,LogisticRegression(max_iter=100000),0.98,0.07,2.84,pi6,0.0,0.9870600414078675,0.9870600414078675,32.25,0.98,40.96689453125,False
pi5,LogisticRegression(max_iter=100000),0.98,0.07,2.84,pi7,0.0,0.9813760993274703,0.9813760993274703,33.01,0.99,40.96689453125,False
pi5,LogisticRegression(max_iter=100000),0.98,0.07,2.84,pi8,0.32,0.6647697878944646,0.686497672012416,32.92,0.98,40.96689453125,False
pi6,LogisticRegression(max_iter=100000),0.99,0.04,4.41,pi3,0.0,0.9839544513457557,0.9839544513457557,36.31,0.0,40.96689453125,False
pi6,LogisticRegression(max_iter=100000),0.99,0.04,4.41,pi4,0.0,0.9880952380952381,0.9880952380952381,34.14,0.99,40.96689453125,False
pi6,LogisticRegression(max_iter=100000),0.99,0.04,4.41,pi5,0.0,0.9829369183040331,0.9829369183040331,32.25,0.98,40.96689453125,False
pi6,LogisticRegression(max_iter=100000),0.99,0.04,4.41,pi7,0.01,0.9813760993274703,0.9813760993274703,33.43,0.99,40.96689453125,False
pi6,LogisticRegression(max_iter=100000),0.99,0.04,4.41,pi8,0.44,0.5426797723745473,0.686497672012416,32.44,0.98,40.96689453125,False
pi7,LogisticRegression(max_iter=100000),0.98,0.07,3.03,pi3,0.0,0.9839544513457557,0.9839544513457557,40.21,0.0,40.96689453125,False
pi7,LogisticRegression(max_iter=100000),0.98,0.07,3.03,pi4,0.01,0.9880952380952381,0.9880952380952381,39.35,0.98,40.96689453125,False
pi7,LogisticRegression(max_iter=100000),0.98,0.07,3.03,pi5,0.0,0.9829369183040331,0.9829369183040331,33.01,0.98,40.96689453125,False
pi7,LogisticRegression(max_iter=100000),0.98,0.07,3.03,pi6,0.01,0.9870600414078675,0.9870600414078675,33.43,0.98,40.96689453125,False
