model_node,model,model_r2,train_time,optimisation_time,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,asmmd,balanced
pi1,"LogisticRegression(C=0.01, class_weight='balanced', max_iter=100000,
                   solver='liblinear')",0.84,0.02,2.75,pi2,0.02,0.8202802967848309,0.8037922506183017,0.12,0.0,0.1303701400756836,False
pi2,"LogisticRegression(C=0.01, class_weight='balanced', max_iter=100000,
                   solver='liblinear')",0.8,0.02,2.77,pi1,0.01,0.817283950617284,0.8395061728395061,0.12,0.06,0.1303701400756836,False
pi2,"LogisticRegression(C=0.01, class_weight='balanced', max_iter=100000,
                   solver='liblinear')",0.8,0.02,2.77,pi3,0.02,0.8283828382838284,0.8432343234323433,0.08,1.0,0.1303701400756836,False
pi3,"LogisticRegression(class_weight='balanced', max_iter=100000)",0.84,0.03,2.74,pi2,0.03,0.8161582852431987,0.8037922506183017,0.08,0.97,0.1303701400756836,False
pi1,LogisticRegression(max_iter=100000),0.86,0.05,1.81,pi2,0.01,0.8657142857142858,0.8514285714285714,1.04,0.02,1.1182238260904949,True
pi2,LogisticRegression(max_iter=100000),0.85,0.05,1.67,pi1,0.01,0.8629441624365483,0.8578680203045685,1.04,0.14,1.1182238260904949,True
pi2,LogisticRegression(max_iter=100000),0.85,0.05,1.67,pi3,0.04,0.8885714285714286,0.8857142857142857,0.36,1.0,1.1182238260904949,True
pi3,LogisticRegression(max_iter=100000),0.89,0.03,2.08,pi2,0.03,0.8571428571428571,0.8514285714285714,0.36,0.96,1.1182238260904949,True
pi4,LogisticRegression(max_iter=100000),0.69,0.04,2.02,pi5,0.03,0.7180020811654526,0.7200832466181062,0.24,0.08,1.1182238260904949,True
pi5,LogisticRegression(max_iter=100000),0.72,0.05,2.13,pi4,0.02,0.6951092611862643,0.6919875130072841,0.24,0.01,1.1182238260904949,True
