model_node,model,train_time,optimisation_time,model_r2,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,asmmd,balanced
pi2,LogisticRegression(max_iter=100000),0.01,0.7,0.96,pi3,0.01,0.9447911665866539,0.9452712433989439,20.7,1.0,25.629438920454547,True
pi3,LogisticRegression(max_iter=100000),0.01,0.63,0.95,pi2,0.01,0.9553528564570332,0.957273163706193,20.7,0.98,25.629438920454547,True
pi3,LogisticRegression(max_iter=100000),0.01,0.63,0.95,pi4,0.01,0.951581975071908,0.9506232023010547,13.75,0.98,25.629438920454547,True
pi4,LogisticRegression(max_iter=100000),0.02,0.77,0.95,pi3,0.01,0.9433509361497839,0.9452712433989439,13.75,0.98,25.629438920454547,True
pi4,LogisticRegression(max_iter=100000),0.02,0.77,0.95,pi5,0.0,0.9497126436781609,0.9506704980842912,22.17,0.98,25.629438920454547,True
pi5,LogisticRegression(max_iter=100000),0.01,0.68,0.95,pi4,0.0,0.9534995206136145,0.9506232023010547,22.17,0.97,25.629438920454547,True
pi2,LogisticRegression(max_iter=100000),0.01,0.65,0.97,pi3,0.01,0.9621333333333333,0.9632,33.18,0.99,32.96176382211539,False
pi3,LogisticRegression(max_iter=100000),0.01,0.61,0.96,pi2,0.01,0.9696162046908315,0.9696162046908315,33.18,0.98,32.96176382211539,False
pi3,LogisticRegression(max_iter=100000),0.01,0.61,0.96,pi4,0.01,0.9696485623003195,0.9696485623003195,20.26,0.96,32.96176382211539,False
pi3,LogisticRegression(max_iter=100000),0.01,0.61,0.96,pi5,0.0,0.9670212765957447,0.9670212765957447,16.91,0.99,32.96176382211539,False
pi4,LogisticRegression(max_iter=100000),0.01,0.69,0.97,pi3,0.01,0.9605333333333334,0.9632,20.26,0.99,32.96176382211539,False
pi4,LogisticRegression(max_iter=100000),0.01,0.69,0.97,pi5,0.0,0.9670212765957447,0.9670212765957447,21.86,0.98,32.96176382211539,False
pi5,LogisticRegression(max_iter=100000),0.01,0.62,0.97,pi3,0.01,0.96,0.9632,16.91,0.98,32.96176382211539,False
pi5,LogisticRegression(max_iter=100000),0.01,0.62,0.97,pi4,0.0,0.9696485623003195,0.9696485623003195,21.86,0.96,32.96176382211539,False
