model_node,model,model_r2,train_time,optimisation_time,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,asmmd,balanced
pi1,LogisticRegression(max_iter=100000),0.98,0.08,3.35,pi3,0.0,0.98656330749354,0.98656330749354,35.42,0.98,50.05622944078947,False
pi1,LogisticRegression(max_iter=100000),0.98,0.08,3.35,pi6,0.0,0.9850051706308169,0.9850051706308169,47.11,0.0,50.05622944078947,False
pi1,LogisticRegression(max_iter=100000),0.98,0.08,3.35,pi8,0.32,0.6587383660806618,0.688728024819028,42.89,0.0,50.05622944078947,False
pi3,LogisticRegression(max_iter=100000),0.99,0.08,4.08,pi1,0.0,0.983453981385729,0.983453981385729,35.42,0.97,50.05622944078947,False
pi3,LogisticRegression(max_iter=100000),0.99,0.08,4.08,pi6,0.0,0.9850051706308169,0.9850051706308169,35.64,0.0,50.05622944078947,False
pi3,LogisticRegression(max_iter=100000),0.99,0.08,4.08,pi7,0.01,0.9803617571059432,0.9803617571059432,38.88,0.0,50.05622944078947,False
pi3,LogisticRegression(max_iter=100000),0.99,0.08,4.08,pi8,0.34,0.6447776628748707,0.688728024819028,36.53,0.0,50.05622944078947,False
pi6,LogisticRegression(max_iter=100000),0.99,0.09,6.1,pi1,0.0,0.983453981385729,0.983453981385729,47.11,0.0,50.05622944078947,False
pi6,LogisticRegression(max_iter=100000),0.99,0.09,6.1,pi3,0.0,0.98656330749354,0.98656330749354,35.64,0.0,50.05622944078947,False
pi6,LogisticRegression(max_iter=100000),0.99,0.09,6.1,pi4,0.0,0.9881013967925505,0.9881013967925505,42.74,0.99,50.05622944078947,False
pi6,LogisticRegression(max_iter=100000),0.99,0.09,6.1,pi7,0.0,0.9803617571059432,0.9803617571059432,35.32,0.99,50.05622944078947,False
pi6,LogisticRegression(max_iter=100000),0.99,0.09,6.1,pi8,0.43,0.5542916235780765,0.688728024819028,33.94,0.97,50.05622944078947,False
pi8,LogisticRegression(max_iter=100000),0.69,0.09,149.35,pi1,0.29,0.983453981385729,0.983453981385729,42.89,0.0,50.05622944078947,False
pi8,LogisticRegression(max_iter=100000),0.69,0.09,149.35,pi3,0.3,0.98656330749354,0.98656330749354,36.53,0.0,50.05622944078947,False
pi8,LogisticRegression(max_iter=100000),0.69,0.09,149.35,pi4,0.3,0.9881013967925505,0.9881013967925505,44.57,0.99,50.05622944078947,False
pi8,LogisticRegression(max_iter=100000),0.69,0.09,149.35,pi6,0.3,0.9850051706308169,0.9850051706308169,33.94,0.99,50.05622944078947,False
pi8,LogisticRegression(max_iter=100000),0.69,0.09,149.35,pi7,0.29,0.9803617571059432,0.9803617571059432,42.28,1.0,50.05622944078947,False
pi7,LogisticRegression(max_iter=100000),0.98,0.09,3.44,pi3,0.01,0.98656330749354,0.98656330749354,38.88,0.0,50.05622944078947,False
pi7,LogisticRegression(max_iter=100000),0.98,0.09,3.44,pi4,0.01,0.9881013967925505,0.9881013967925505,49.6,0.99,50.05622944078947,False
pi7,LogisticRegression(max_iter=100000),0.98,0.09,3.44,pi6,0.0,0.9850051706308169,0.9850051706308169,35.32,0.99,50.05622944078947,False
pi7,LogisticRegression(max_iter=100000),0.98,0.09,3.44,pi8,0.32,0.6602895553257497,0.688728024819028,42.28,0.97,50.05622944078947,False
pi4,LogisticRegression(max_iter=100000),0.99,0.08,3.85,pi5,0.0,0.9834368530020704,0.9834368530020704,37.24,0.98,50.05622944078947,False
pi4,LogisticRegression(max_iter=100000),0.99,0.08,3.85,pi6,0.0,0.9850051706308169,0.9850051706308169,42.74,0.99,50.05622944078947,False
pi4,LogisticRegression(max_iter=100000),0.99,0.08,3.85,pi7,0.01,0.9803617571059432,0.9803617571059432,49.6,0.99,50.05622944078947,False
pi4,LogisticRegression(max_iter=100000),0.99,0.08,3.85,pi8,0.35,0.6421923474663909,0.688728024819028,44.57,0.97,50.05622944078947,False
pi5,LogisticRegression(max_iter=100000),0.98,0.07,3.14,pi4,0.0,0.9881013967925505,0.9881013967925505,37.24,0.99,50.05622944078947,False
pi1,LogisticRegression(max_iter=100000),0.89,0.02,0.84,pi3,0.01,0.8888888888888888,0.8888888888888888,814.32,0.98,1429.065275493421,True
pi1,LogisticRegression(max_iter=100000),0.89,0.02,0.84,pi4,0.01,0.9047619047619048,0.9047619047619048,1003.45,0.0,1429.065275493421,True
pi1,LogisticRegression(max_iter=100000),0.89,0.02,0.84,pi5,0.07,0.8245614035087719,0.8245614035087719,1288.08,0.0,1429.065275493421,True
pi1,LogisticRegression(max_iter=100000),0.89,0.02,0.84,pi6,0.03,0.86,0.86,761.95,0.0,1429.065275493421,True
pi3,LogisticRegression(max_iter=100000),0.89,0.03,0.98,pi1,0.01,0.8947368421052632,0.8947368421052632,814.32,0.97,1429.065275493421,True
pi3,LogisticRegression(max_iter=100000),0.89,0.03,0.98,pi4,0.01,0.8809523809523809,0.9047619047619048,1374.83,0.0,1429.065275493421,True
pi3,LogisticRegression(max_iter=100000),0.89,0.03,0.98,pi5,0.06,0.8245614035087719,0.8245614035087719,1154.94,0.0,1429.065275493421,True
pi3,LogisticRegression(max_iter=100000),0.89,0.03,0.98,pi6,0.03,0.86,0.86,976.8,0.0,1429.065275493421,True
pi4,LogisticRegression(max_iter=100000),0.9,0.02,0.84,pi1,0.01,0.8947368421052632,0.8947368421052632,1003.45,0.0,1429.065275493421,True
pi4,LogisticRegression(max_iter=100000),0.9,0.02,0.84,pi3,0.02,0.8888888888888888,0.8888888888888888,1374.83,0.0,1429.065275493421,True
pi4,LogisticRegression(max_iter=100000),0.9,0.02,0.84,pi5,0.08,0.8245614035087719,0.8245614035087719,1475.94,0.84,1429.065275493421,True
pi4,LogisticRegression(max_iter=100000),0.9,0.02,0.84,pi6,0.04,0.86,0.86,950.12,0.79,1429.065275493421,True
pi4,LogisticRegression(max_iter=100000),0.9,0.02,0.84,pi8,0.42,0.4833743842364532,0.6822660098522167,874.3,0.82,1429.065275493421,True
pi5,LogisticRegression(max_iter=100000),0.82,0.02,0.79,pi1,0.07,0.8947368421052632,0.8947368421052632,1288.08,0.0,1429.065275493421,True
pi5,LogisticRegression(max_iter=100000),0.82,0.02,0.79,pi3,0.06,0.8888888888888888,0.8888888888888888,1154.94,0.0,1429.065275493421,True
pi5,LogisticRegression(max_iter=100000),0.82,0.02,0.79,pi4,0.08,0.9047619047619048,0.9047619047619048,1475.94,0.87,1429.065275493421,True
pi5,LogisticRegression(max_iter=100000),0.82,0.02,0.79,pi6,0.04,0.86,0.86,1272.49,0.88,1429.065275493421,True
pi6,LogisticRegression(max_iter=100000),0.86,0.01,1.11,pi1,0.03,0.8947368421052632,0.8947368421052632,761.95,0.0,1429.065275493421,True
pi6,LogisticRegression(max_iter=100000),0.86,0.01,1.11,pi3,0.03,0.8888888888888888,0.8888888888888888,976.8,0.0,1429.065275493421,True
pi6,LogisticRegression(max_iter=100000),0.86,0.01,1.11,pi4,0.04,0.9047619047619048,0.9047619047619048,950.12,0.89,1429.065275493421,True
pi6,LogisticRegression(max_iter=100000),0.86,0.01,1.11,pi5,0.04,0.8245614035087719,0.8245614035087719,1272.49,0.91,1429.065275493421,True
pi6,LogisticRegression(max_iter=100000),0.86,0.01,1.11,pi8,0.33,0.5289408866995073,0.6822660098522167,877.43,0.86,1429.065275493421,True
pi2,LogisticRegression(max_iter=100000),0.76,0.01,0.78,pi10,0.22,0.5432300163132137,0.7112561174551386,889.33,0.0,1429.065275493421,True
pi10,LogisticRegression(max_iter=100000),0.71,0.03,1.73,pi2,0.21,0.5,0.7619047619047619,889.33,0.51,1429.065275493421,True
pi8,LogisticRegression(max_iter=100000),0.68,0.08,39.49,pi4,0.21,0.47619047619047616,0.9047619047619048,874.3,0.94,1429.065275493421,True
pi8,LogisticRegression(max_iter=100000),0.68,0.08,39.49,pi6,0.2,0.48,0.86,877.43,0.88,1429.065275493421,True
