model_node,model,train_time,optimisation_time,model_r2,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,asmmd,balanced
pi2,LogisticRegression(max_iter=100000),0.01,0.66,0.96,pi3,0.02,0.947242206235012,0.947242206235012,14.45,0.98,22.933210100446427,True
pi2,LogisticRegression(max_iter=100000),0.01,0.66,0.96,pi4,0.01,0.9563549160671463,0.9558752997601918,13.13,0.98,22.933210100446427,True
pi3,LogisticRegression(max_iter=100000),0.01,0.65,0.95,pi2,0.01,0.9592130518234165,0.9630518234165067,14.45,0.97,22.933210100446427,True
pi3,LogisticRegression(max_iter=100000),0.01,0.65,0.95,pi4,0.01,0.9558752997601918,0.9558752997601918,11.66,0.98,22.933210100446427,True
pi4,LogisticRegression(max_iter=100000),0.01,0.7,0.96,pi2,0.0,0.960172744721689,0.9630518234165067,13.13,0.97,22.933210100446427,True
pi4,LogisticRegression(max_iter=100000),0.01,0.7,0.96,pi3,0.01,0.9477218225419665,0.947242206235012,11.66,0.98,22.933210100446427,True
pi2,LogisticRegression(max_iter=100000),0.01,0.61,0.97,pi3,0.01,0.9642666666666667,0.9642666666666667,19.88,0.98,23.499674479166668,False
pi3,LogisticRegression(max_iter=100000),0.02,0.61,0.96,pi2,0.01,0.9738945125199787,0.9738945125199787,19.88,0.97,23.499674479166668,False
pi3,LogisticRegression(max_iter=100000),0.02,0.61,0.96,pi4,0.01,0.9701492537313433,0.9701492537313433,14.9,0.98,23.499674479166668,False
pi4,LogisticRegression(max_iter=100000),0.01,0.53,0.97,pi3,0.01,0.9642666666666667,0.9642666666666667,14.9,0.98,23.499674479166668,False
