model_node,model,score,test_node,discrepancy,method,threshold,sample pair calculation,experiment,std
pi2,"SVR(C=100, epsilon=0.2)",0.99,pi4,0.12,MMD,0.13,True,1,False
pi4,"SVR(C=100, epsilon=1)",0.97,pi2,0.05,MMD,0.13,True,1,False
pi2,"SVR(C=100, epsilon=0.5, kernel='linear')",0.99,pi4,0.07,MMD,0.13,True,1,False
pi4,"SVR(C=1, epsilon=1, kernel='linear')",0.92,pi2,0.06,MMD,0.13,True,1,False
pi2,"SVR(C=100, epsilon=0.2)",0.99,pi4,0.12,OCSVM,0.6,True,1,False
pi4,"SVR(C=100, epsilon=1)",0.97,pi2,0.05,OCSVM,0.85,True,1,False
pi4,"SVR(C=100, epsilon=1)",0.97,pi3,0.24,OCSVM,0.65,True,1,False
pi3,"SVR(C=100, epsilon=0.2)",0.98,pi4,2.63,OCSVM,0.1,True,1,False
pi3,"SVR(C=100, epsilon=0.2)",0.98,pi5,1.17,OCSVM,0.18,True,1,False
pi5,"SVR(C=100, epsilon=1)",0.42,pi3,0.44,OCSVM,0.99,True,1,False
pi2,"SVR(C=100, epsilon=0.5, kernel='linear')",0.99,pi4,0.07,OCSVM,0.6,True,1,False
pi4,"SVR(C=1, epsilon=1, kernel='linear')",0.92,pi2,0.06,OCSVM,0.85,True,1,False
pi4,"SVR(C=1, epsilon=1, kernel='linear')",0.92,pi3,0.05,OCSVM,0.65,True,1,False
pi3,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.93,pi4,0.27,OCSVM,0.1,True,1,False
pi3,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.93,pi5,1.13,OCSVM,0.18,True,1,False
pi5,"SVR(C=0.1, epsilon=1, kernel='linear')",0.23,pi3,0.1,OCSVM,0.99,True,1,False
pi2,"SVR(C=100, epsilon=0.2)",0.99,pi4,0.12,MMD OCSVM Verify,0.6,True,1,False
pi4,"SVR(C=100, epsilon=1)",0.97,pi2,0.05,MMD OCSVM Verify,0.85,True,1,False
pi2,"SVR(C=100, epsilon=0.5, kernel='linear')",0.99,pi4,0.07,MMD OCSVM Verify,0.6,True,1,False
pi4,"SVR(C=1, epsilon=1, kernel='linear')",0.92,pi2,0.06,MMD OCSVM Verify,0.85,True,1,False
pi2,"SVR(C=100, epsilon=0.2)",0.99,pi4,0.12,OCSVM,0.73,False,1,False
pi4,"SVR(C=100, epsilon=1)",0.97,pi2,0.05,OCSVM,0.89,False,1,False
pi4,"SVR(C=100, epsilon=1)",0.97,pi3,0.24,OCSVM,0.69,False,1,False
