model_node,model,score,test_node,discrepancy,method,threshold,sample pair calculation,experiment,std
pi2,SVR(C=100),0.99,pi3,0.08,MMD,0.03,True,1,True
pi3,"SVR(C=10, epsilon=0.2)",0.98,pi2,0.04,MMD,0.03,True,1,True
pi3,"SVR(C=10, epsilon=0.2)",0.98,pi4,0.08,MMD,0.03,True,1,True
pi4,"SVR(C=100, epsilon=0.2)",0.97,pi3,0.06,MMD,0.03,True,1,True
pi2,"SVR(C=0.1, kernel='linear')",0.99,pi3,0.06,MMD,0.03,True,1,True
pi3,"SVR(C=0.1, epsilon=0.2, kernel='linear')",0.93,pi2,0.06,MMD,0.03,True,1,True
pi3,"SVR(C=0.1, epsilon=0.2, kernel='linear')",0.93,pi4,0.0,MMD,0.03,True,1,True
pi4,"SVR(C=0.1, epsilon=0.2, kernel='linear')",0.92,pi3,0.0,MMD,0.03,True,1,True
pi2,SVR(C=100),0.99,pi3,0.08,OCSVM,0.68,True,1,True
pi2,SVR(C=100),0.99,pi4,0.1,OCSVM,0.61,True,1,True
pi2,SVR(C=100),0.99,pi5,0.65,OCSVM,0.04,True,1,True
pi3,"SVR(C=10, epsilon=0.2)",0.98,pi2,0.04,OCSVM,0.59,True,1,True
pi3,"SVR(C=10, epsilon=0.2)",0.98,pi4,0.08,OCSVM,0.31,True,1,True
pi3,"SVR(C=10, epsilon=0.2)",0.98,pi5,0.63,OCSVM,0.04,True,1,True
pi4,"SVR(C=100, epsilon=0.2)",0.97,pi2,0.04,OCSVM,0.86,True,1,True
pi4,"SVR(C=100, epsilon=0.2)",0.97,pi3,0.06,OCSVM,0.91,True,1,True
pi4,"SVR(C=100, epsilon=0.2)",0.97,pi5,0.64,OCSVM,0.24,True,1,True
pi5,"SVR(C=100, epsilon=0.5)",0.55,pi2,0.01,OCSVM,0.82,True,1,True
pi5,"SVR(C=100, epsilon=0.5)",0.55,pi3,0.03,OCSVM,0.85,True,1,True
pi5,"SVR(C=100, epsilon=0.5)",0.55,pi4,0.17,OCSVM,0.91,True,1,True
pi2,"SVR(C=0.1, kernel='linear')",0.99,pi3,0.06,OCSVM,0.68,True,1,True
pi2,"SVR(C=0.1, kernel='linear')",0.99,pi4,0.06,OCSVM,0.61,True,1,True
pi2,"SVR(C=0.1, kernel='linear')",0.99,pi5,0.71,OCSVM,0.04,True,1,True
pi3,"SVR(C=0.1, epsilon=0.2, kernel='linear')",0.93,pi2,0.06,OCSVM,0.59,True,1,True
pi3,"SVR(C=0.1, epsilon=0.2, kernel='linear')",0.93,pi4,0.0,OCSVM,0.31,True,1,True
pi3,"SVR(C=0.1, epsilon=0.2, kernel='linear')",0.93,pi5,0.62,OCSVM,0.04,True,1,True
pi4,"SVR(C=0.1, epsilon=0.2, kernel='linear')",0.92,pi2,0.06,OCSVM,0.86,True,1,True
pi4,"SVR(C=0.1, epsilon=0.2, kernel='linear')",0.92,pi3,0.0,OCSVM,0.91,True,1,True
pi4,"SVR(C=0.1, epsilon=0.2, kernel='linear')",0.92,pi5,0.6,OCSVM,0.24,True,1,True
pi5,"SVR(C=0.1, epsilon=1, kernel='linear')",0.42,pi2,0.47,OCSVM,0.82,True,1,True
pi5,"SVR(C=0.1, epsilon=1, kernel='linear')",0.42,pi3,0.42,OCSVM,0.85,True,1,True
