model_node,model,score,test_node,discrepancy,method,std,experiment,threshold,sample pair calculation
pi2,"SVR(C=100, epsilon=0.5)",0.99022518985477,pi4,0.12506345255813722,MMD,False,1,6.05,True
pi4,"SVR(C=100, epsilon=0.5)",0.9675348680208281,pi2,0.04816837625573833,MMD,False,1,6.05,True
pi2,"SVR(C=10, epsilon=0.5, kernel='linear')",0.986899360374418,pi4,0.07043923392049656,MMD,False,1,6.05,True
pi4,"SVR(C=0.01, epsilon=1, kernel='linear')",0.9114740954298755,pi2,0.06881285362790313,MMD,False,1,6.05,True
pi2,LinearRegression(),0.987001221221927,pi4,0.07099191314638142,MMD,False,1,6.05,True
pi4,LinearRegression(normalize=True),0.9185023860879251,pi2,0.06580536520767699,MMD,False,1,6.05,True
pi2,SVR(C=100),0.9906112074012121,pi4,0.11026705740544906,MMD,True,1,6.05,True
pi4,"SVR(C=100, epsilon=0.2)",0.9679400485595873,pi2,0.07037135684516904,MMD,True,1,6.05,True
pi2,SVR(kernel='linear'),0.9869927542664191,pi4,0.07092448118019934,MMD,True,1,6.05,True
pi4,"SVR(C=1, epsilon=0.2, kernel='linear')",0.9177452536808167,pi2,0.0668470006467905,MMD,True,1,6.05,True
pi2,LinearRegression(),0.9870012223153213,pi4,0.07099188551746538,MMD,True,1,6.05,True
pi4,LinearRegression(normalize=True),0.9185023777564922,pi2,0.0658053778068649,MMD,True,1,6.05,True
pi2,"SVR(C=100, epsilon=0.5)",0.99022518985477,pi4,0.12506345255813722,OCSVM,False,1,0.91,True
pi4,"SVR(C=100, epsilon=0.5)",0.9675348680208281,pi2,0.04816837625573833,OCSVM,False,1,0.58,True
pi4,"SVR(C=100, epsilon=0.5)",0.9675348680208281,pi3,0.44609853731441196,OCSVM,False,1,0.08,True
pi3,"SVR(C=100, epsilon=0.5)",0.9799428085776044,pi4,5.118118137430165,OCSVM,False,1,0.67,True
pi3,"SVR(C=100, epsilon=0.5)",0.9799428085776044,pi5,2.43952491802661,OCSVM,False,1,1.0,True
pi5,"SVR(C=100, epsilon=1)",0.4853198208818098,pi3,0.5617468435333018,OCSVM,False,1,0.22,True
pi2,"SVR(C=10, epsilon=0.5, kernel='linear')",0.986899360374418,pi4,0.07043923392049656,OCSVM,False,1,0.91,True
pi4,"SVR(C=0.01, epsilon=1, kernel='linear')",0.9114740954298755,pi2,0.06881285362790313,OCSVM,False,1,0.58,True
pi4,"SVR(C=0.01, epsilon=1, kernel='linear')",0.9114740954298755,pi3,0.08085747881624938,OCSVM,False,1,0.08,True
pi3,"SVR(C=0.1, epsilon=1, kernel='linear')",0.9227919632110202,pi4,0.5062716644789237,OCSVM,False,1,0.67,True
pi3,"SVR(C=0.1, epsilon=1, kernel='linear')",0.9227919632110202,pi5,1.0799733856568694,OCSVM,False,1,1.0,True
pi5,SVR(kernel='linear'),0.31532625895216626,pi3,0.12144067940629344,OCSVM,False,1,0.22,True
pi2,LinearRegression(),0.987001221221927,pi4,0.07099191314638142,OCSVM,False,1,0.91,True
pi4,LinearRegression(normalize=True),0.9185023860879251,pi2,0.06580536520767699,OCSVM,False,1,0.58,True
pi4,LinearRegression(normalize=True),0.9185023860879251,pi3,0.18056243146766238,OCSVM,False,1,0.08,True
pi3,LinearRegression(),0.9231815020707378,pi4,0.5770917517849382,OCSVM,False,1,0.67,True
pi3,LinearRegression(),0.9231815020707378,pi5,1.107794967393211,OCSVM,False,1,1.0,True
pi5,LinearRegression(),0.37353378296184847,pi3,0.03583359107822892,OCSVM,False,1,0.22,True
pi2,SVR(C=100),0.9906112074012121,pi4,0.11026705740544906,OCSVM,True,1,0.91,True
pi4,"SVR(C=100, epsilon=0.2)",0.9679400485595873,pi2,0.07037135684516904,OCSVM,True,1,0.58,True
pi4,"SVR(C=100, epsilon=0.2)",0.9679400485595873,pi3,0.3481332897681012,OCSVM,True,1,0.08,True
pi3,SVR(),0.9799059718807764,pi4,3.8179289797847518,OCSVM,True,1,0.67,True
pi3,SVR(),0.9799059718807764,pi5,1.2901969992499094,OCSVM,True,1,1.0,True
pi5,"SVR(C=100, epsilon=0.2)",0.5295354733263203,pi3,0.7557427660273911,OCSVM,True,1,0.22,True
pi2,SVR(kernel='linear'),0.9869927542664191,pi4,0.07092448118019934,OCSVM,True,1,0.91,True
pi4,"SVR(C=1, epsilon=0.2, kernel='linear')",0.9177452536808167,pi2,0.0668470006467905,OCSVM,True,1,0.58,True
pi4,"SVR(C=1, epsilon=0.2, kernel='linear')",0.9177452536808167,pi3,0.14083871635475165,OCSVM,True,1,0.08,True
pi3,SVR(kernel='linear'),0.9229095262331503,pi4,0.6126369845782201,OCSVM,True,1,0.67,True
pi3,SVR(kernel='linear'),0.9229095262331503,pi5,1.1336729184859564,OCSVM,True,1,1.0,True
pi5,"SVR(C=100, epsilon=0.5, kernel='linear')",0.3730048823975829,pi3,0.06679256295959302,OCSVM,True,1,0.22,True
pi2,LinearRegression(),0.9870012223153213,pi4,0.07099188551746538,OCSVM,True,1,0.91,True
pi4,LinearRegression(normalize=True),0.9185023777564922,pi2,0.0658053778068649,OCSVM,True,1,0.58,True
pi4,LinearRegression(normalize=True),0.9185023777564922,pi3,0.18056244104350394,OCSVM,True,1,0.08,True
pi3,LinearRegression(),0.9231814453080496,pi4,0.5770917628544516,OCSVM,True,1,0.67,True
pi3,LinearRegression(),0.9231814453080496,pi5,1.1077948549684133,OCSVM,True,1,1.0,True
pi5,LinearRegression(),0.37353378131599624,pi3,0.03583263748695997,OCSVM,True,1,0.22,True
pi2,"SVR(C=100, epsilon=0.5)",0.99022518985477,pi4,0.12506345255813722,MMD OCSVM Verify,False,1,0.91,True
pi4,"SVR(C=100, epsilon=0.5)",0.9675348680208281,pi2,0.04816837625573833,MMD OCSVM Verify,False,1,0.58,True
pi2,"SVR(C=10, epsilon=0.5, kernel='linear')",0.986899360374418,pi4,0.07043923392049656,MMD OCSVM Verify,False,1,0.91,True
pi4,"SVR(C=0.01, epsilon=1, kernel='linear')",0.9114740954298755,pi2,0.06881285362790313,MMD OCSVM Verify,False,1,0.58,True
pi2,LinearRegression(),0.987001221221927,pi4,0.07099191314638142,MMD OCSVM Verify,False,1,0.91,True
pi4,LinearRegression(normalize=True),0.9185023860879251,pi2,0.06580536520767699,MMD OCSVM Verify,False,1,0.58,True
pi2,SVR(C=100),0.9906112074012121,pi4,0.11026705740544906,MMD OCSVM Verify,True,1,0.91,True
pi4,"SVR(C=100, epsilon=0.2)",0.9679400485595873,pi2,0.07037135684516904,MMD OCSVM Verify,True,1,0.58,True
pi2,SVR(kernel='linear'),0.9869927542664191,pi4,0.07092448118019934,MMD OCSVM Verify,True,1,0.91,True
pi4,"SVR(C=1, epsilon=0.2, kernel='linear')",0.9177452536808167,pi2,0.0668470006467905,MMD OCSVM Verify,True,1,0.58,True
pi2,LinearRegression(),0.9870012223153213,pi4,0.07099188551746538,MMD OCSVM Verify,True,1,0.91,True
pi4,LinearRegression(normalize=True),0.9185023777564922,pi2,0.0658053778068649,MMD OCSVM Verify,True,1,0.58,True
pi2,"SVR(C=100, epsilon=0.5)",0.99022518985477,pi4,0.12506345255813722,OCSVM,False,1,0.89,False
pi4,"SVR(C=100, epsilon=0.5)",0.9675348680208281,pi2,0.04816837625573833,OCSVM,False,1,0.64,False
pi4,"SVR(C=100, epsilon=0.5)",0.9675348680208281,pi3,0.44609853731441196,OCSVM,False,1,0.1,False
pi3,"SVR(C=100, epsilon=0.5)",0.9799428085776044,pi4,5.118118137430165,OCSVM,False,1,0.69,False
pi3,"SVR(C=100, epsilon=0.5)",0.9799428085776044,pi5,2.43952491802661,OCSVM,False,1,1.0,False
pi5,"SVR(C=100, epsilon=1)",0.4853198208818098,pi3,0.5617468435333018,OCSVM,False,1,0.21,False
pi2,"SVR(C=10, epsilon=0.5, kernel='linear')",0.986899360374418,pi4,0.07043923392049656,OCSVM,False,1,0.89,False
pi4,"SVR(C=0.01, epsilon=1, kernel='linear')",0.9114740954298755,pi2,0.06881285362790313,OCSVM,False,1,0.64,False
pi4,"SVR(C=0.01, epsilon=1, kernel='linear')",0.9114740954298755,pi3,0.08085747881624938,OCSVM,False,1,0.1,False
pi3,"SVR(C=0.1, epsilon=1, kernel='linear')",0.9227919632110202,pi4,0.5062716644789237,OCSVM,False,1,0.69,False
pi3,"SVR(C=0.1, epsilon=1, kernel='linear')",0.9227919632110202,pi5,1.0799733856568694,OCSVM,False,1,1.0,False
pi5,SVR(kernel='linear'),0.31532625895216626,pi3,0.12144067940629344,OCSVM,False,1,0.21,False
pi2,LinearRegression(),0.987001221221927,pi4,0.07099191314638142,OCSVM,False,1,0.89,False
pi4,LinearRegression(normalize=True),0.9185023860879251,pi2,0.06580536520767699,OCSVM,False,1,0.64,False
pi4,LinearRegression(normalize=True),0.9185023860879251,pi3,0.18056243146766238,OCSVM,False,1,0.1,False
pi3,LinearRegression(),0.9231815020707378,pi4,0.5770917517849382,OCSVM,False,1,0.69,False
pi3,LinearRegression(),0.9231815020707378,pi5,1.107794967393211,OCSVM,False,1,1.0,False
pi5,LinearRegression(),0.37353378296184847,pi3,0.03583359107822892,OCSVM,False,1,0.21,False
pi2,SVR(C=100),0.9906112074012121,pi4,0.11026705740544906,OCSVM,True,1,0.89,False
pi4,"SVR(C=100, epsilon=0.2)",0.9679400485595873,pi2,0.07037135684516904,OCSVM,True,1,0.64,False
pi4,"SVR(C=100, epsilon=0.2)",0.9679400485595873,pi3,0.3481332897681012,OCSVM,True,1,0.1,False
pi3,SVR(),0.9799059718807764,pi4,3.8179289797847518,OCSVM,True,1,0.69,False
pi3,SVR(),0.9799059718807764,pi5,1.2901969992499094,OCSVM,True,1,1.0,False
pi5,"SVR(C=100, epsilon=0.2)",0.5295354733263203,pi3,0.7557427660273911,OCSVM,True,1,0.21,False
pi2,SVR(kernel='linear'),0.9869927542664191,pi4,0.07092448118019934,OCSVM,True,1,0.89,False
pi4,"SVR(C=1, epsilon=0.2, kernel='linear')",0.9177452536808167,pi2,0.0668470006467905,OCSVM,True,1,0.64,False
pi4,"SVR(C=1, epsilon=0.2, kernel='linear')",0.9177452536808167,pi3,0.14083871635475165,OCSVM,True,1,0.1,False
pi3,SVR(kernel='linear'),0.9229095262331503,pi4,0.6126369845782201,OCSVM,True,1,0.69,False
pi3,SVR(kernel='linear'),0.9229095262331503,pi5,1.1336729184859564,OCSVM,True,1,1.0,False
pi5,"SVR(C=100, epsilon=0.5, kernel='linear')",0.3730048823975829,pi3,0.06679256295959302,OCSVM,True,1,0.21,False
pi2,LinearRegression(),0.9870012223153213,pi4,0.07099188551746538,OCSVM,True,1,0.89,False
pi4,LinearRegression(normalize=True),0.9185023777564922,pi2,0.0658053778068649,OCSVM,True,1,0.64,False
pi4,LinearRegression(normalize=True),0.9185023777564922,pi3,0.18056244104350394,OCSVM,True,1,0.1,False
pi3,LinearRegression(),0.9231814453080496,pi4,0.5770917628544516,OCSVM,True,1,0.69,False
pi3,LinearRegression(),0.9231814453080496,pi5,1.1077948549684133,OCSVM,True,1,1.0,False
