model_node,model,train_time,score,test_node,discrepancy,mmd_score,ocsvm_score,experiment,std,asmmd
pi2,"SVR(C=10, epsilon=0.2)",0.03789830207824707,0.99,pi4,0.1,0.11037576198577881,0.6133333333333333,1,False,0.11037576198577881
pi4,"SVR(C=10, epsilon=0.5)",0.019918441772460938,0.96,pi2,0.02,0.11037576198577881,0.8711111111111111,1,False,0.11037576198577881
pi2,"SVR(C=1, epsilon=0.5, kernel='linear')",0.0857703685760498,0.99,pi4,0.07,0.11037576198577881,0.6133333333333333,1,False,0.11037576198577881
pi4,"SVR(C=0.1, epsilon=1, kernel='linear')",0.013980627059936523,0.92,pi2,0.06,0.11037576198577881,0.8711111111111111,1,False,0.11037576198577881
pi2,"SVR(C=10, epsilon=1)",0.019946575164794922,0.27,pi4,0.02,0.19349360466003418,0.4311111111111111,2,False,0.20159226655960083
pi4,"SVR(C=10, epsilon=0.5)",0.022934675216674805,0.39,pi2,1.18,0.19349360466003418,0.7555555555555555,2,False,0.20159226655960083
pi3,"SVR(C=10, epsilon=1)",0.018947839736938477,0.6,pi5,0.66,0.20969104766845703,0.98,2,False,0.20159226655960083
pi5,"SVR(C=10, epsilon=0.5)",0.01894974708557129,0.49,pi3,0.37,0.20969104766845703,0.4666666666666667,2,False,0.20159226655960083
pi2,"SVR(C=10, epsilon=5, kernel='linear')",0.0164642333984375,0.22,pi4,0.32,0.19349360466003418,0.4311111111111111,2,False,0.20159226655960083
pi4,"SVR(C=0.01, epsilon=1, kernel='linear')",0.012998819351196289,-0.0,pi2,0.18,0.19349360466003418,0.7555555555555555,2,False,0.20159226655960083
pi3,"SVR(C=1, epsilon=2, kernel='linear')",0.014927864074707031,0.48,pi5,0.07,0.20969104766845703,0.98,2,False,0.20159226655960083
pi5,SVR(kernel='linear'),0.036940813064575195,0.41,pi3,0.02,0.20969104766845703,0.4666666666666667,2,False,0.20159226655960083
pi2,"SVR(C=10, epsilon=0.2)",0.010970592498779297,0.95,pi4,2.48,0.2987358570098877,0.3181818181818182,3,False,0.5642462968826294
pi2,"SVR(C=10, epsilon=0.2)",0.010970592498779297,0.95,pi5,9.73,0.5908827781677246,0.0,3,False,0.5642462968826294
pi4,"SVR(C=10, epsilon=0.5)",0.007979631423950195,0.99,pi2,0.44,0.2987358570098877,0.4393939393939394,3,False,0.5642462968826294
pi4,"SVR(C=10, epsilon=0.5)",0.007979631423950195,0.99,pi5,2.93,0.3730565905570984,0.03787878787878788,3,False,0.5642462968826294
pi5,"SVR(C=10, epsilon=0.5)",0.007947921752929688,0.54,pi2,6.37,0.5908827781677246,0.011363636363636364,3,False,0.5642462968826294
pi5,"SVR(C=10, epsilon=0.5)",0.007947921752929688,0.54,pi4,0.54,0.3730565905570984,0.2537878787878788,3,False,0.5642462968826294
pi2,"SVR(C=0.1, kernel='linear')",0.007013559341430664,0.95,pi4,0.03,0.2987358570098877,0.3181818181818182,3,False,0.5642462968826294
pi2,"SVR(C=0.1, kernel='linear')",0.007013559341430664,0.95,pi5,1.82,0.5908827781677246,0.0,3,False,0.5642462968826294
pi4,SVR(kernel='linear'),0.02643442153930664,0.98,pi2,0.06,0.2987358570098877,0.4393939393939394,3,False,0.5642462968826294
pi4,SVR(kernel='linear'),0.02643442153930664,0.98,pi5,2.67,0.3730565905570984,0.03787878787878788,3,False,0.5642462968826294
pi5,"SVR(C=0.1, epsilon=2, kernel='linear')",0.002991914749145508,0.46,pi2,5.03,0.5908827781677246,0.011363636363636364,3,False,0.5642462968826294
pi5,"SVR(C=0.1, epsilon=2, kernel='linear')",0.002991914749145508,0.46,pi4,0.67,0.3730565905570984,0.2537878787878788,3,False,0.5642462968826294
