model_node,model,train_time,optimisation_time,model_r2,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,kernel,experiment,std,asmmd
pi2,"SVR(C=10, epsilon=0.5)",0.02,0.74,0.99,pi4,0.09,0.8954733073423234,0.9580115425670502,0.12,0.62,rbf,1,False,0.11996842920780182
pi4,"SVR(C=10, epsilon=1)",0.02,0.76,0.96,pi2,0.01,0.948669377719583,0.989798015187987,0.12,0.87,rbf,1,False,0.11996842920780182
pi2,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.02,4.25,0.99,pi4,0.07,0.9222018489847006,0.9242150624854382,0.12,0.62,linear,1,False,0.11996842920780182
pi4,"SVR(C=0.1, epsilon=2, kernel='linear')",0.01,6.18,0.92,pi2,0.06,0.9831376090156309,0.9875311758813026,0.12,0.87,linear,1,False,0.11996842920780182
pi2,"SVR(C=10, epsilon=2)",0.01,0.66,0.31,pi4,0.13,0.18096943541734944,0.3640904849965181,0.18,0.45,rbf,2,False,0.19760537147521973
pi4,"SVR(C=10, epsilon=2)",0.02,0.85,0.36,pi2,0.75,-0.3820917541718478,0.3073180692723497,0.18,0.76,rbf,2,False,0.19760537147521973
pi2,"SVR(C=0.01, epsilon=2, kernel='linear')",0.0,1.42,0.19,pi4,0.56,-0.3666372148224848,-0.007470196945766894,0.18,0.45,linear,2,False,0.19760537147521973
pi4,"SVR(C=0.01, epsilon=0.5, kernel='linear')",0.01,0.93,-0.01,pi2,0.18,0.17118283136867662,0.1925127517797358,0.18,0.76,linear,2,False,0.19760537147521973
pi2,SVR(),0.01,0.29,0.95,pi4,2.52,-1.5675396240588326,0.987240053299975,0.31,0.35,rbf,3,False,0.30990684032440186
pi4,"SVR(C=10, epsilon=0.5)",0.01,0.3,0.99,pi2,0.5,0.48582896468609227,0.9488420001775719,0.31,0.41,rbf,3,False,0.30990684032440186
pi2,"SVR(C=0.01, kernel='linear')",0.0,0.4,0.95,pi4,0.02,0.9284841761558846,0.9840579217918277,0.31,0.35,linear,3,False,0.30990684032440186
pi4,SVR(kernel='linear'),0.02,1.62,0.98,pi2,0.06,0.9215761064823418,0.950613379689763,0.31,0.41,linear,3,False,0.30990684032440186
