model_node,model,score,test_node,discrepancy,method,std,experiment,threshold
pi2,"SVR(C=100, epsilon=0.2)",0.9896294622590758,pi4,0.10078162797880796,MMD,False,1,-
pi4,"SVR(C=100, epsilon=0.01)",0.967200958533568,pi2,0.05930560657369155,MMD,False,1,-
pi2,"SVR(C=100, epsilon=0.5, kernel='linear')",0.984856529640104,pi4,0.06269056720401367,MMD,False,1,-
pi4,"SVR(C=0.01, epsilon=1, kernel='linear')",0.924669240375209,pi2,0.047316885164272904,MMD,False,1,-
pi2,LinearRegression(),0.9849252080895808,pi4,0.06319316184142143,MMD,False,1,-
pi4,LinearRegression(normalize=True),0.9279572631229986,pi2,0.05114950268540441,MMD,False,1,-
pi2,"SVR(C=10, epsilon=0.01)",0.9893223058005746,pi4,0.10606103594186489,MMD,True,1,-
pi4,"SVR(C=100, epsilon=0.2)",0.9692392888017635,pi2,0.0510185799464028,MMD,True,1,-
pi2,"SVR(C=0.1, epsilon=0.2, kernel='linear')",0.9849069829635334,pi4,0.06343058378729682,MMD,True,1,-
pi4,"SVR(C=100, epsilon=0.2, kernel='linear')",0.9274304192368477,pi2,0.048338302038466674,MMD,True,1,-
pi2,LinearRegression(),0.9849252112701242,pi4,0.06319317771606059,MMD,True,1,-
pi4,LinearRegression(),0.9279572446610577,pi2,0.05114952109557447,MMD,True,1,-
pi3,"SVR(C=10, epsilon=0.2)",0.9770096050514526,pi5,1.357647272981945,OCSVM,False,1,0.95
pi5,"SVR(C=100, epsilon=1)",0.4849055117366543,pi3,0.17041305333147427,OCSVM,False,1,0.95
pi3,"SVR(C=0.1, epsilon=1, kernel='linear')",0.9272159308666521,pi5,0.77933295947729,OCSVM,False,1,0.95
pi5,"SVR(C=10, epsilon=1, kernel='linear')",0.3697227230622271,pi3,0.4671806726945025,OCSVM,False,1,0.95
pi3,LinearRegression(),0.9273460786415615,pi5,0.7904818610826005,OCSVM,False,1,0.95
pi5,LinearRegression(),0.43865953630173304,pi3,0.1629433378494305,OCSVM,False,1,0.95
pi3,SVR(),0.9771802034001712,pi5,1.3057474585524496,OCSVM,True,1,0.95
pi5,"SVR(C=10, epsilon=0.5)",0.5282344514416226,pi3,0.09138379087542825,OCSVM,True,1,0.95
pi3,SVR(kernel='linear'),0.9267535158246416,pi5,0.8184074501893823,OCSVM,True,1,0.95
pi5,"SVR(C=1, epsilon=0.5, kernel='linear')",0.4348546665697036,pi3,0.11455632379584257,OCSVM,True,1,0.95
pi3,LinearRegression(),0.9273460303617318,pi5,0.7904821328410719,OCSVM,True,1,0.95
pi5,LinearRegression(),0.43865961165315825,pi3,0.16294269300071562,OCSVM,True,1,0.95
pi2,"SVR(C=100, epsilon=0.2)",0.9896294622590758,pi4,0.10078162797880796,OCSVM,False,1,0.85
pi4,"SVR(C=100, epsilon=0.01)",0.967200958533568,pi2,0.05930560657369155,OCSVM,False,1,0.85
pi2,"SVR(C=100, epsilon=0.5, kernel='linear')",0.984856529640104,pi4,0.06269056720401367,OCSVM,False,1,0.85
pi4,"SVR(C=0.01, epsilon=1, kernel='linear')",0.924669240375209,pi2,0.047316885164272904,OCSVM,False,1,0.85
pi2,LinearRegression(),0.9849252080895808,pi4,0.06319316184142143,OCSVM,False,1,0.85
pi4,LinearRegression(normalize=True),0.9279572631229986,pi2,0.05114950268540441,OCSVM,False,1,0.85
pi2,"SVR(C=10, epsilon=0.01)",0.9893223058005746,pi4,0.10606103594186489,OCSVM,True,1,0.85
pi4,"SVR(C=100, epsilon=0.2)",0.9692392888017635,pi2,0.0510185799464028,OCSVM,True,1,0.85
pi2,"SVR(C=0.1, epsilon=0.2, kernel='linear')",0.9849069829635334,pi4,0.06343058378729682,OCSVM,True,1,0.85
pi4,"SVR(C=100, epsilon=0.2, kernel='linear')",0.9274304192368477,pi2,0.048338302038466674,OCSVM,True,1,0.85
pi2,LinearRegression(),0.9849252112701242,pi4,0.06319317771606059,OCSVM,True,1,0.85
pi4,LinearRegression(),0.9279572446610577,pi2,0.05114952109557447,OCSVM,True,1,0.85
pi2,"SVR(C=100, epsilon=0.2)",0.9896294622590758,pi4,0.10078162797880796,MMD OCSVM Verify,False,1,0.85
pi4,"SVR(C=100, epsilon=0.01)",0.967200958533568,pi2,0.05930560657369155,MMD OCSVM Verify,False,1,0.85
pi2,"SVR(C=100, epsilon=0.5, kernel='linear')",0.984856529640104,pi4,0.06269056720401367,MMD OCSVM Verify,False,1,0.85
pi4,"SVR(C=0.01, epsilon=1, kernel='linear')",0.924669240375209,pi2,0.047316885164272904,MMD OCSVM Verify,False,1,0.85
pi2,LinearRegression(),0.9849252080895808,pi4,0.06319316184142143,MMD OCSVM Verify,False,1,0.85
pi4,LinearRegression(normalize=True),0.9279572631229986,pi2,0.05114950268540441,MMD OCSVM Verify,False,1,0.85
pi2,"SVR(C=10, epsilon=0.01)",0.9893223058005746,pi4,0.10606103594186489,MMD OCSVM Verify,True,1,0.85
pi4,"SVR(C=100, epsilon=0.2)",0.9692392888017635,pi2,0.0510185799464028,MMD OCSVM Verify,True,1,0.85
pi2,"SVR(C=0.1, epsilon=0.2, kernel='linear')",0.9849069829635334,pi4,0.06343058378729682,MMD OCSVM Verify,True,1,0.85
pi4,"SVR(C=100, epsilon=0.2, kernel='linear')",0.9274304192368477,pi2,0.048338302038466674,MMD OCSVM Verify,True,1,0.85
pi2,LinearRegression(),0.9849252112701242,pi4,0.06319317771606059,MMD OCSVM Verify,True,1,0.85
pi4,LinearRegression(),0.9279572446610577,pi2,0.05114952109557447,MMD OCSVM Verify,True,1,0.85
pi4,"SVR(C=100, epsilon=0.01)",0.967200958533568,pi3,0.27635003063772823,OCSVM,False,1,0.6
pi3,"SVR(C=10, epsilon=0.2)",0.9770096050514526,pi4,3.7470775553595717,OCSVM,False,1,0.6
pi4,"SVR(C=0.01, epsilon=1, kernel='linear')",0.924669240375209,pi3,0.07433825447953324,OCSVM,False,1,0.6
pi3,"SVR(C=0.1, epsilon=1, kernel='linear')",0.9272159308666521,pi4,0.43581862117165915,OCSVM,False,1,0.6
pi4,LinearRegression(normalize=True),0.9279572631229986,pi3,0.10388804538910235,OCSVM,False,1,0.6
pi3,LinearRegression(),0.9273460786415615,pi4,0.4490765567424835,OCSVM,False,1,0.6
pi4,"SVR(C=100, epsilon=0.2)",0.9692392888017635,pi3,0.25652296943417097,OCSVM,True,1,0.6
pi3,SVR(),0.9771802034001712,pi4,3.6141743203031216,OCSVM,True,1,0.6
pi4,"SVR(C=100, epsilon=0.2, kernel='linear')",0.9274304192368477,pi3,0.09041192395758157,OCSVM,True,1,0.6
pi3,SVR(kernel='linear'),0.9267535158246416,pi4,0.496512179017799,OCSVM,True,1,0.6
pi4,LinearRegression(),0.9279572446610577,pi3,0.10388820534189158,OCSVM,True,1,0.6
pi3,LinearRegression(),0.9273460303617318,pi4,0.4490770225318028,OCSVM,True,1,0.6
pi3,"SVR(C=10, epsilon=1)",0.5055184706593743,pi5,1.8107566548558214,MMD,False,2,-
pi5,SVR(C=100),0.9067391004816104,pi3,1.31735567477116,MMD,False,2,-
pi3,"SVR(C=10, epsilon=0, kernel='linear')",0.380099194782648,pi5,0.1539440472678385,MMD,False,2,-
pi5,SVR(kernel='linear'),0.7706780236672943,pi3,0.5778584707928243,MMD,False,2,-
pi3,LinearRegression(),0.4072939385278753,pi5,0.396141821890553,MMD,False,2,-
pi5,LinearRegression(normalize=True),0.7820211308014513,pi3,0.7166069848322812,MMD,False,2,-
pi3,"SVR(C=100, epsilon=0.2)",0.6329160333855328,pi5,27.1570071371268,MMD,True,2,-
pi5,"SVR(C=100, epsilon=0.01)",0.8978616939648464,pi3,1.796671344951767,MMD,True,2,-
pi3,"SVR(C=100, epsilon=0, kernel='linear')",0.3801097533065182,pi5,0.15401229925130655,MMD,True,2,-
pi5,"SVR(C=0.1, epsilon=0.2, kernel='linear')",0.7814906996627433,pi3,0.7485696916692925,MMD,True,2,-
pi3,LinearRegression(),0.4072938187012173,pi5,0.39614090831533433,MMD,True,2,-
pi5,LinearRegression(normalize=True),0.7820209073283413,pi3,0.7166058973360772,MMD,True,2,-
pi3,"SVR(C=10, epsilon=1)",0.5055184706593743,pi5,1.8107566548558214,OCSVM,False,2,0.95
pi5,SVR(C=100),0.9067391004816104,pi3,1.31735567477116,OCSVM,False,2,0.95
pi3,"SVR(C=10, epsilon=0, kernel='linear')",0.380099194782648,pi5,0.1539440472678385,OCSVM,False,2,0.95
pi5,SVR(kernel='linear'),0.7706780236672943,pi3,0.5778584707928243,OCSVM,False,2,0.95
pi3,LinearRegression(),0.4072939385278753,pi5,0.396141821890553,OCSVM,False,2,0.95
pi5,LinearRegression(normalize=True),0.7820211308014513,pi3,0.7166069848322812,OCSVM,False,2,0.95
pi3,"SVR(C=100, epsilon=0.2)",0.6329160333855328,pi5,27.1570071371268,OCSVM,True,2,0.95
pi5,"SVR(C=100, epsilon=0.01)",0.8978616939648464,pi3,1.796671344951767,OCSVM,True,2,0.95
pi3,"SVR(C=100, epsilon=0, kernel='linear')",0.3801097533065182,pi5,0.15401229925130655,OCSVM,True,2,0.95
pi5,"SVR(C=0.1, epsilon=0.2, kernel='linear')",0.7814906996627433,pi3,0.7485696916692925,OCSVM,True,2,0.95
pi3,LinearRegression(),0.4072938187012173,pi5,0.39614090831533433,OCSVM,True,2,0.95
pi5,LinearRegression(normalize=True),0.7820209073283413,pi3,0.7166058973360772,OCSVM,True,2,0.95
pi3,"SVR(C=10, epsilon=1)",0.5055184706593743,pi5,1.8107566548558214,MMD OCSVM Verify,False,2,0.95
pi5,SVR(C=100),0.9067391004816104,pi3,1.31735567477116,MMD OCSVM Verify,False,2,0.95
pi3,"SVR(C=10, epsilon=0, kernel='linear')",0.380099194782648,pi5,0.1539440472678385,MMD OCSVM Verify,False,2,0.95
pi5,SVR(kernel='linear'),0.7706780236672943,pi3,0.5778584707928243,MMD OCSVM Verify,False,2,0.95
pi3,LinearRegression(),0.4072939385278753,pi5,0.396141821890553,MMD OCSVM Verify,False,2,0.95
pi5,LinearRegression(normalize=True),0.7820211308014513,pi3,0.7166069848322812,MMD OCSVM Verify,False,2,0.95
pi3,"SVR(C=100, epsilon=0.2)",0.6329160333855328,pi5,27.1570071371268,MMD OCSVM Verify,True,2,0.95
pi5,"SVR(C=100, epsilon=0.01)",0.8978616939648464,pi3,1.796671344951767,MMD OCSVM Verify,True,2,0.95
pi3,"SVR(C=100, epsilon=0, kernel='linear')",0.3801097533065182,pi5,0.15401229925130655,MMD OCSVM Verify,True,2,0.95
pi5,"SVR(C=0.1, epsilon=0.2, kernel='linear')",0.7814906996627433,pi3,0.7485696916692925,MMD OCSVM Verify,True,2,0.95
pi3,LinearRegression(),0.4072938187012173,pi5,0.39614090831533433,MMD OCSVM Verify,True,2,0.95
pi5,LinearRegression(normalize=True),0.7820209073283413,pi3,0.7166058973360772,MMD OCSVM Verify,True,2,0.95
pi2,"SVR(C=100, epsilon=0.5)",0.7497412291849431,pi5,27.812873251060182,OCSVM,False,2,0.85
pi5,SVR(C=100),0.9067391004816104,pi2,20.323280653156164,OCSVM,False,2,0.85
