model_node,model,score,test_node,discrepancy,method,threshold,sample pair calculation,experiment,std
pi2,"SVR(C=100, epsilon=0.2)",0.99,pi4,0.13,MMD,0.13,True,1,False
pi4,"SVR(C=1, epsilon=0.5)",0.94,pi2,0.01,MMD,0.13,True,1,False
pi2,"SVR(C=100, epsilon=0.5, kernel='linear')",0.99,pi4,0.13,MMD,0.13,True,1,False
pi4,"SVR(C=0.001, epsilon=1, kernel='linear')",0.87,pi2,0.1,MMD,0.13,True,1,False
pi2,"SVR(C=100, epsilon=0.2)",0.99,pi4,0.13,OCSVM,0.86,True,1,False
pi4,"SVR(C=1, epsilon=0.5)",0.94,pi2,0.01,OCSVM,0.59,True,1,False
pi4,"SVR(C=1, epsilon=0.5)",0.94,pi3,0.63,OCSVM,0.09,True,1,False
pi3,"SVR(C=100, epsilon=0.2)",0.98,pi4,2.93,OCSVM,0.68,True,1,False
pi3,"SVR(C=100, epsilon=0.2)",0.98,pi5,1.05,OCSVM,0.99,True,1,False
pi5,"SVR(C=100, epsilon=1)",0.47,pi3,0.08,OCSVM,0.19,True,1,False
pi2,"SVR(C=100, epsilon=0.5, kernel='linear')",0.99,pi4,0.13,OCSVM,0.86,True,1,False
pi4,"SVR(C=0.001, epsilon=1, kernel='linear')",0.87,pi2,0.1,OCSVM,0.59,True,1,False
pi4,"SVR(C=0.001, epsilon=1, kernel='linear')",0.87,pi3,0.03,OCSVM,0.09,True,1,False
pi3,"SVR(C=100, epsilon=1, kernel='linear')",0.93,pi4,0.38,OCSVM,0.68,True,1,False
pi3,"SVR(C=100, epsilon=1, kernel='linear')",0.93,pi5,1.1,OCSVM,0.99,True,1,False
pi5,SVR(kernel='linear'),0.36,pi3,0.11,OCSVM,0.19,True,1,False
pi2,"SVR(C=100, epsilon=0.2)",0.99,pi4,0.13,MMD OCSVM Verify,0.86,True,1,False
pi4,"SVR(C=1, epsilon=0.5)",0.94,pi2,0.01,MMD OCSVM Verify,0.59,True,1,False
pi2,"SVR(C=100, epsilon=0.5, kernel='linear')",0.99,pi4,0.13,MMD OCSVM Verify,0.86,True,1,False
pi4,"SVR(C=0.001, epsilon=1, kernel='linear')",0.87,pi2,0.1,MMD OCSVM Verify,0.59,True,1,False
pi2,"SVR(C=100, epsilon=0.2)",0.99,pi4,0.13,OCSVM,0.89,False,1,False
pi4,"SVR(C=1, epsilon=0.5)",0.94,pi2,0.01,OCSVM,0.73,False,1,False
pi4,"SVR(C=1, epsilon=0.5)",0.94,pi3,0.63,OCSVM,0.22,False,1,False
pi3,"SVR(C=100, epsilon=0.2)",0.98,pi4,2.93,OCSVM,0.69,False,1,False
pi3,"SVR(C=100, epsilon=0.2)",0.98,pi5,1.05,OCSVM,1.0,False,1,False
pi5,"SVR(C=100, epsilon=1)",0.47,pi3,0.08,OCSVM,0.52,False,1,False
pi2,"SVR(C=100, epsilon=0.5, kernel='linear')",0.99,pi4,0.13,OCSVM,0.89,False,1,False
pi4,"SVR(C=0.001, epsilon=1, kernel='linear')",0.87,pi2,0.1,OCSVM,0.73,False,1,False
pi4,"SVR(C=0.001, epsilon=1, kernel='linear')",0.87,pi3,0.03,OCSVM,0.22,False,1,False
pi3,"SVR(C=100, epsilon=1, kernel='linear')",0.93,pi4,0.38,OCSVM,0.69,False,1,False
pi3,"SVR(C=100, epsilon=1, kernel='linear')",0.93,pi5,1.1,OCSVM,1.0,False,1,False
pi5,SVR(kernel='linear'),0.36,pi3,0.11,OCSVM,0.52,False,1,False
pi2,"SVR(C=100, epsilon=0.2)",0.99,pi4,0.13,MMD OCSVM Verify,0.89,False,1,False
pi4,"SVR(C=1, epsilon=0.5)",0.94,pi2,0.01,MMD OCSVM Verify,0.73,False,1,False
pi2,"SVR(C=100, epsilon=0.5, kernel='linear')",0.99,pi4,0.13,MMD OCSVM Verify,0.89,False,1,False
pi4,"SVR(C=0.001, epsilon=1, kernel='linear')",0.87,pi2,0.1,MMD OCSVM Verify,0.73,False,1,False
pi2,"SVR(C=100, epsilon=1)",0.32,pi4,0.09,MMD,0.18,True,2,False
pi4,"SVR(C=10, epsilon=1)",0.33,pi2,0.88,MMD,0.18,True,2,False
pi2,"SVR(C=0.1, epsilon=1, kernel='linear')",0.24,pi4,0.53,MMD,0.18,True,2,False
pi4,"SVR(C=1e-05, epsilon=0, kernel='linear')",-0.01,pi2,0.11,MMD,0.18,True,2,False
pi2,"SVR(C=100, epsilon=1)",0.32,pi4,0.09,OCSVM,0.76,True,2,False
pi2,"SVR(C=100, epsilon=1)",0.32,pi5,14.76,OCSVM,0.0,True,2,False
pi4,"SVR(C=10, epsilon=1)",0.33,pi2,0.88,OCSVM,0.41,True,2,False
pi4,"SVR(C=10, epsilon=1)",0.33,pi3,4.75,OCSVM,0.08,True,2,False
pi4,"SVR(C=10, epsilon=1)",0.33,pi5,5.91,OCSVM,0.07,True,2,False
pi5,"SVR(C=100, epsilon=1)",0.32,pi2,2.06,OCSVM,0.84,True,2,False
pi5,"SVR(C=100, epsilon=1)",0.32,pi3,0.23,OCSVM,0.97,True,2,False
pi5,"SVR(C=100, epsilon=1)",0.32,pi4,1.28,OCSVM,0.79,True,2,False
pi3,"SVR(C=100, epsilon=1)",0.55,pi4,2.36,OCSVM,0.86,True,2,False
pi3,"SVR(C=100, epsilon=1)",0.55,pi5,0.68,OCSVM,0.47,True,2,False
pi2,"SVR(C=0.1, epsilon=1, kernel='linear')",0.24,pi4,0.53,OCSVM,0.76,True,2,False
pi2,"SVR(C=0.1, epsilon=1, kernel='linear')",0.24,pi5,14.03,OCSVM,0.0,True,2,False
pi4,"SVR(C=1e-05, epsilon=0, kernel='linear')",-0.01,pi2,0.11,OCSVM,0.41,True,2,False
pi4,"SVR(C=1e-05, epsilon=0, kernel='linear')",-0.01,pi3,4.8,OCSVM,0.08,True,2,False
pi4,"SVR(C=1e-05, epsilon=0, kernel='linear')",-0.01,pi5,16.29,OCSVM,0.07,True,2,False
pi5,"SVR(C=0.01, epsilon=0.01, kernel='linear')",0.22,pi2,2.04,OCSVM,0.84,True,2,False
pi5,"SVR(C=0.01, epsilon=0.01, kernel='linear')",0.22,pi3,0.18,OCSVM,0.97,True,2,False
pi5,"SVR(C=0.01, epsilon=0.01, kernel='linear')",0.22,pi4,1.64,OCSVM,0.79,True,2,False
pi3,"SVR(C=10, epsilon=1, kernel='linear')",0.42,pi4,1.94,OCSVM,0.86,True,2,False
pi3,"SVR(C=10, epsilon=1, kernel='linear')",0.42,pi5,0.21,OCSVM,0.47,True,2,False
pi2,"SVR(C=100, epsilon=1)",0.32,pi4,0.09,MMD OCSVM Verify,0.76,True,2,False
pi4,"SVR(C=10, epsilon=1)",0.33,pi2,0.88,MMD OCSVM Verify,0.41,True,2,False
pi2,"SVR(C=0.1, epsilon=1, kernel='linear')",0.24,pi4,0.53,MMD OCSVM Verify,0.76,True,2,False
pi4,"SVR(C=1e-05, epsilon=0, kernel='linear')",-0.01,pi2,0.11,MMD OCSVM Verify,0.41,True,2,False
pi2,"SVR(C=100, epsilon=1)",0.32,pi4,0.09,OCSVM,0.84,False,2,False
pi2,"SVR(C=100, epsilon=1)",0.32,pi5,14.76,OCSVM,0.0,False,2,False
pi4,"SVR(C=10, epsilon=1)",0.33,pi2,0.88,OCSVM,0.88,False,2,False
pi4,"SVR(C=10, epsilon=1)",0.33,pi3,4.75,OCSVM,0.11,False,2,False
pi4,"SVR(C=10, epsilon=1)",0.33,pi5,5.91,OCSVM,0.07,False,2,False
pi5,"SVR(C=100, epsilon=1)",0.32,pi2,2.06,OCSVM,2.22,False,2,False
pi5,"SVR(C=100, epsilon=1)",0.32,pi3,0.23,OCSVM,1.85,False,2,False
pi5,"SVR(C=100, epsilon=1)",0.32,pi4,1.28,OCSVM,1.09,False,2,False
pi3,"SVR(C=100, epsilon=1)",0.55,pi4,2.36,OCSVM,0.87,False,2,False
pi3,"SVR(C=100, epsilon=1)",0.55,pi5,0.68,OCSVM,0.55,False,2,False
pi2,"SVR(C=0.1, epsilon=1, kernel='linear')",0.24,pi4,0.53,OCSVM,0.84,False,2,False
pi2,"SVR(C=0.1, epsilon=1, kernel='linear')",0.24,pi5,14.03,OCSVM,0.0,False,2,False
pi4,"SVR(C=1e-05, epsilon=0, kernel='linear')",-0.01,pi2,0.11,OCSVM,0.88,False,2,False
pi4,"SVR(C=1e-05, epsilon=0, kernel='linear')",-0.01,pi3,4.8,OCSVM,0.11,False,2,False
pi4,"SVR(C=1e-05, epsilon=0, kernel='linear')",-0.01,pi5,16.29,OCSVM,0.07,False,2,False
pi5,"SVR(C=0.01, epsilon=0.01, kernel='linear')",0.22,pi2,2.04,OCSVM,2.22,False,2,False
pi5,"SVR(C=0.01, epsilon=0.01, kernel='linear')",0.22,pi3,0.18,OCSVM,1.85,False,2,False
pi5,"SVR(C=0.01, epsilon=0.01, kernel='linear')",0.22,pi4,1.64,OCSVM,1.09,False,2,False
pi3,"SVR(C=10, epsilon=1, kernel='linear')",0.42,pi4,1.94,OCSVM,0.87,False,2,False
pi3,"SVR(C=10, epsilon=1, kernel='linear')",0.42,pi5,0.21,OCSVM,0.55,False,2,False
pi2,"SVR(C=100, epsilon=1)",0.32,pi4,0.09,MMD OCSVM Verify,0.84,False,2,False
pi4,"SVR(C=10, epsilon=1)",0.33,pi2,0.88,MMD OCSVM Verify,0.88,False,2,False
pi2,"SVR(C=0.1, epsilon=1, kernel='linear')",0.24,pi4,0.53,MMD OCSVM Verify,0.84,False,2,False
pi4,"SVR(C=1e-05, epsilon=0, kernel='linear')",-0.01,pi2,0.11,MMD OCSVM Verify,0.88,False,2,False
pi2,SVR(C=10),0.96,pi4,2.92,MMD,0.31,True,3,False
pi4,"SVR(C=100, epsilon=0.01)",0.99,pi2,0.58,MMD,0.31,True,3,False
pi4,"SVR(C=100, epsilon=0.01)",0.99,pi5,2.99,MMD,0.38,True,3,False
pi5,"SVR(C=100, epsilon=0.5)",0.72,pi4,0.66,MMD,0.38,True,3,False
pi2,"SVR(C=10, epsilon=0.2, kernel='linear')",0.96,pi4,0.05,MMD,0.31,True,3,False
pi4,"SVR(C=0.01, epsilon=0.2, kernel='linear')",0.99,pi2,0.05,MMD,0.31,True,3,False
pi4,"SVR(C=0.01, epsilon=0.2, kernel='linear')",0.99,pi5,2.67,MMD,0.38,True,3,False
pi5,"SVR(C=0.1, epsilon=1, kernel='linear')",0.44,pi4,1.02,MMD,0.38,True,3,False
pi2,SVR(C=10),0.96,pi4,2.92,OCSVM,0.45,True,3,False
pi4,"SVR(C=100, epsilon=0.01)",0.99,pi2,0.58,OCSVM,0.3,True,3,False
pi2,"SVR(C=10, epsilon=0.2, kernel='linear')",0.96,pi4,0.05,OCSVM,0.45,True,3,False
pi4,"SVR(C=0.01, epsilon=0.2, kernel='linear')",0.99,pi2,0.05,OCSVM,0.3,True,3,False
pi2,SVR(C=10),0.96,pi4,2.92,MMD OCSVM Verify,0.45,True,3,False
pi4,"SVR(C=100, epsilon=0.01)",0.99,pi2,0.58,MMD OCSVM Verify,0.3,True,3,False
