model_node,model,score,test_node,discrepancy,method,std,experiment,threshold,sample pair calculation
pi2,"SVR(C=10, epsilon=0.2)",0.9574135669658309,pi4,2.2876224951787205,MMD,False,3,6.43,True
pi4,"SVR(C=10, epsilon=0.2)",0.9859054094766226,pi2,0.977310318886548,MMD,False,3,6.43,True
pi2,"SVR(C=1, epsilon=0.2, kernel='linear')",0.9536033724485179,pi4,0.048700801788413406,MMD,False,3,6.43,True
pi4,"SVR(C=0.1, epsilon=0.2, kernel='linear')",0.9812152177450757,pi2,0.04256063206912919,MMD,False,3,6.43,True
pi2,LinearRegression(),0.9540412428524078,pi4,0.03502420348598145,MMD,False,3,6.43,True
pi4,LinearRegression(),0.9814707020853903,pi2,0.04494324385091664,MMD,False,3,6.43,True
pi2,SVR(),0.9515587824084787,pi4,2.2851817273694026,MMD,True,3,6.43,True
pi4,SVR(),0.9839647738185269,pi2,1.1204982171941162,MMD,True,3,6.43,True
pi2,"SVR(C=100, kernel='linear')",0.9526500197384744,pi4,0.01418087176413052,MMD,True,3,6.43,True
pi4,SVR(kernel='linear'),0.9812607543786557,pi2,0.04779498781121094,MMD,True,3,6.43,True
pi2,LinearRegression(),0.9540412543783293,pi4,0.035024023760299894,MMD,True,3,6.43,True
pi4,LinearRegression(),0.9814706977528065,pi2,0.044943198656729355,MMD,True,3,6.43,True
pi2,"SVR(C=10, epsilon=0.2)",0.9574135669658309,pi4,2.2876224951787205,OCSVM,False,3,0.93,True
pi4,"SVR(C=10, epsilon=0.2)",0.9859054094766226,pi2,0.977310318886548,OCSVM,False,3,0.66,True
pi4,"SVR(C=10, epsilon=0.2)",0.9859054094766226,pi3,2.0477362327341764,OCSVM,False,3,0.11,True
pi3,"SVR(C=0.1, epsilon=0.2)",0.08903214446811569,pi4,0.08898217138393472,OCSVM,False,3,0.69,True
pi3,"SVR(C=0.1, epsilon=0.2)",0.08903214446811569,pi5,3.3623602575907294,OCSVM,False,3,1.0,True
pi5,"SVR(C=100, epsilon=1)",0.6364527172701028,pi3,96.06602563073999,OCSVM,False,3,0.22,True
pi2,"SVR(C=1, epsilon=0.2, kernel='linear')",0.9536033724485179,pi4,0.048700801788413406,OCSVM,False,3,0.93,True
pi4,"SVR(C=0.1, epsilon=0.2, kernel='linear')",0.9812152177450757,pi2,0.04256063206912919,OCSVM,False,3,0.66,True
pi4,"SVR(C=0.1, epsilon=0.2, kernel='linear')",0.9812152177450757,pi3,3.5532919398374307,OCSVM,False,3,0.11,True
pi3,SVR(kernel='linear'),0.015510048354534622,pi4,0.23276461845172935,OCSVM,False,3,0.69,True
pi3,SVR(kernel='linear'),0.015510048354534622,pi5,3.1748053653356116,OCSVM,False,3,1.0,True
pi5,"SVR(C=0.1, epsilon=1, kernel='linear')",0.44884499624024254,pi3,123.07484134244372,OCSVM,False,3,0.22,True
pi2,LinearRegression(),0.9540412428524078,pi4,0.03502420348598145,OCSVM,False,3,0.93,True
pi4,LinearRegression(),0.9814707020853903,pi2,0.04494324385091664,OCSVM,False,3,0.66,True
pi4,LinearRegression(),0.9814707020853903,pi3,3.209395437954867,OCSVM,False,3,0.11,True
pi3,LinearRegression(),0.020367825106131,pi4,0.33567818770609426,OCSVM,False,3,0.69,True
pi3,LinearRegression(),0.020367825106131,pi5,3.169946686141519,OCSVM,False,3,1.0,True
pi5,LinearRegression(),0.5238430605334536,pi3,104.7297792870526,OCSVM,False,3,0.22,True
pi2,SVR(),0.9515587824084787,pi4,2.2851817273694026,OCSVM,True,3,0.93,True
pi4,SVR(),0.9839647738185269,pi2,1.1204982171941162,OCSVM,True,3,0.66,True
pi4,SVR(),0.9839647738185269,pi3,1.6273884781080097,OCSVM,True,3,0.11,True
pi3,"SVR(C=0.01, epsilon=0.01)",0.037278030690516384,pi4,0.03727249856161308,OCSVM,True,3,0.69,True
pi3,"SVR(C=0.01, epsilon=0.01)",0.037278030690516384,pi5,3.298333473097867,OCSVM,True,3,1.0,True
pi5,"SVR(C=10, epsilon=0.01)",0.641569044461801,pi3,100.4106050076846,OCSVM,True,3,0.22,True
pi2,"SVR(C=100, kernel='linear')",0.9526500197384744,pi4,0.01418087176413052,OCSVM,True,3,0.93,True
pi4,SVR(kernel='linear'),0.9812607543786557,pi2,0.04779498781121094,OCSVM,True,3,0.66,True
pi4,SVR(kernel='linear'),0.9812607543786557,pi3,2.923872316886079,OCSVM,True,3,0.11,True
pi3,"SVR(C=0.01, epsilon=0, kernel='linear')",-0.001916452100481969,pi4,0.008231009170544645,OCSVM,True,3,0.69,True
pi3,"SVR(C=0.01, epsilon=0, kernel='linear')",-0.001916452100481969,pi5,3.251564810452141,OCSVM,True,3,1.0,True
pi5,"SVR(C=1, epsilon=0.2, kernel='linear')",0.4598443222221884,pi3,118.43872297842513,OCSVM,True,3,0.22,True
