model_node,model,score,test_node,discrepancy,method,std,experiment
pi2,"SVR(C=100, epsilon=0.2)",0.992317512701441,pi4,0.07516407610859177,MMD,False,1
pi4,"SVR(C=10, epsilon=0.5)",0.9601224012557827,pi2,0.06633862567271465,MMD,False,1
pi2,"SVR(C=1, epsilon=1, kernel='linear')",0.9861329639888959,pi4,0.005276023211956082,MMD,False,1
pi4,"SVR(C=100, epsilon=1, kernel='linear')",0.920451449380627,pi2,0.014163749510370582,MMD,False,1
pi2,LinearRegression(),0.9866771384314599,pi4,0.00565023699880618,MMD,False,1
pi4,LinearRegression(),0.9243161079066868,pi2,0.005233158886596478,MMD,False,1
pi2,"SVR(C=100, epsilon=0.2)",0.992317512701441,pi4,0.07516407610859177,OCSVM,False,1
pi4,"SVR(C=10, epsilon=0.5)",0.9601224012557827,pi2,0.06633862567271465,OCSVM,False,1
pi4,"SVR(C=10, epsilon=0.5)",0.9601224012557827,pi3,0.410826763446991,OCSVM,False,1
pi3,SVR(C=100),0.9768044206382781,pi4,4.26346240605697,OCSVM,False,1
pi3,SVR(C=100),0.9768044206382781,pi5,1.208770362775021,OCSVM,False,1
pi5,"SVR(C=10, epsilon=1)",0.4544233577697576,pi3,1.5686969918266054,OCSVM,False,1
pi2,"SVR(C=1, epsilon=1, kernel='linear')",0.9861329639888959,pi4,0.005276023211956082,OCSVM,False,1
pi4,"SVR(C=100, epsilon=1, kernel='linear')",0.920451449380627,pi2,0.014163749510370582,OCSVM,False,1
pi4,"SVR(C=100, epsilon=1, kernel='linear')",0.920451449380627,pi3,0.07432203038904328,OCSVM,False,1
pi3,"SVR(C=0.1, epsilon=1, kernel='linear')",0.9194073391979343,pi4,0.42337992800636515,OCSVM,False,1
pi3,"SVR(C=0.1, epsilon=1, kernel='linear')",0.9194073391979343,pi5,0.5859461261549336,OCSVM,False,1
pi5,SVR(kernel='linear'),0.3026052871582424,pi3,0.5393663055261732,OCSVM,False,1
pi2,LinearRegression(),0.9866771384314599,pi4,0.00565023699880618,OCSVM,False,1
pi4,LinearRegression(),0.9243161079066868,pi2,0.005233158886596478,OCSVM,False,1
pi4,LinearRegression(),0.9243161079066868,pi3,0.1184061628224008,OCSVM,False,1
pi3,LinearRegression(),0.9203893841914953,pi4,0.5177265442738594,OCSVM,False,1
pi3,LinearRegression(),0.9203893841914953,pi5,0.6727515485583939,OCSVM,False,1
pi5,LinearRegression(normalize=True),0.36095625879443216,pi3,0.5578374960078221,OCSVM,False,1
pi2,"SVR(C=100, epsilon=0.2)",0.992317512701441,pi4,0.07516407610859177,MMD OCSVM Verify,False,1
pi4,"SVR(C=10, epsilon=0.5)",0.9601224012557827,pi2,0.06633862567271465,MMD OCSVM Verify,False,1
pi2,"SVR(C=1, epsilon=1, kernel='linear')",0.9861329639888959,pi4,0.005276023211956082,MMD OCSVM Verify,False,1
pi4,"SVR(C=100, epsilon=1, kernel='linear')",0.920451449380627,pi2,0.014163749510370582,MMD OCSVM Verify,False,1
pi2,LinearRegression(),0.9866771384314599,pi4,0.00565023699880618,MMD OCSVM Verify,False,1
pi4,LinearRegression(),0.9243161079066868,pi2,0.005233158886596478,MMD OCSVM Verify,False,1
pi2,"SVR(C=100, epsilon=0.01)",0.9924735467367598,pi4,0.10900236610917569,MMD,True,1
pi4,"SVR(C=100, epsilon=0.01)",0.9644959768136007,pi2,0.10389630319610033,MMD,True,1
pi2,SVR(kernel='linear'),0.9865950343040858,pi4,0.0065419970279263495,MMD,True,1
pi4,"SVR(C=1, epsilon=0.2, kernel='linear')",0.9237193413071969,pi2,0.0053626995426832025,MMD,True,1
pi2,LinearRegression(),0.9866771372923172,pi4,0.005650243506454822,MMD,True,1
pi4,LinearRegression(),0.9243161000385173,pi2,0.00523318050865984,MMD,True,1
pi2,"SVR(C=100, epsilon=0.01)",0.9924735467367598,pi4,0.10900236610917569,OCSVM,True,1
pi4,"SVR(C=100, epsilon=0.01)",0.9644959768136007,pi2,0.10389630319610033,OCSVM,True,1
pi4,"SVR(C=100, epsilon=0.01)",0.9644959768136007,pi3,0.27613506141268074,OCSVM,True,1
pi3,SVR(),0.9766015496283806,pi4,4.21051016314386,OCSVM,True,1
pi3,SVR(),0.9766015496283806,pi5,0.9991692097109856,OCSVM,True,1
pi5,"SVR(C=100, epsilon=0.2)",0.4962007262066387,pi3,1.9832579383812412,OCSVM,True,1
pi2,SVR(kernel='linear'),0.9865950343040858,pi4,0.0065419970279263495,OCSVM,True,1
pi4,"SVR(C=1, epsilon=0.2, kernel='linear')",0.9237193413071969,pi2,0.0053626995426832025,OCSVM,True,1
pi4,"SVR(C=1, epsilon=0.2, kernel='linear')",0.9237193413071969,pi3,0.10561500294565596,OCSVM,True,1
pi3,"SVR(C=10, epsilon=0.2, kernel='linear')",0.9201156925314159,pi4,0.5015862988326845,OCSVM,True,1
pi3,"SVR(C=10, epsilon=0.2, kernel='linear')",0.9201156925314159,pi5,0.6489694871722209,OCSVM,True,1
pi5,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.35947139977533493,pi3,0.5906660775162321,OCSVM,True,1
pi2,LinearRegression(),0.9866771372923172,pi4,0.005650243506454822,OCSVM,True,1
pi4,LinearRegression(),0.9243161000385173,pi2,0.00523318050865984,OCSVM,True,1
pi4,LinearRegression(),0.9243161000385173,pi3,0.1184058000324314,OCSVM,True,1
pi3,LinearRegression(),0.9203893473066137,pi4,0.517726541270196,OCSVM,True,1
pi3,LinearRegression(),0.9203893473066137,pi5,0.6727517465652151,OCSVM,True,1
pi5,LinearRegression(),0.36095625276676224,pi3,0.5578373567698584,OCSVM,True,1
pi2,"SVR(C=100, epsilon=0.01)",0.9924735467367598,pi4,0.10900236610917569,MMD OCSVM Verify,True,1
