model_node,model,train_time,score,test_node,discrepancy,mmd_score,ocsvm_score,experiment,std,asmmd
pi2,"SVR(C=10, epsilon=0.01)",0.04,0.98,pi3,0.07,0.03,0.68,1,True,0.04179873069127401
pi3,"SVR(C=10, epsilon=0.01)",0.54,0.98,pi2,0.07,0.03,0.58,1,True,0.04179873069127401
pi3,"SVR(C=10, epsilon=0.01)",0.54,0.98,pi4,0.08,0.04,0.3,1,True,0.04179873069127401
pi4,"SVR(C=10, epsilon=0.01)",0.04,0.96,pi3,0.01,0.04,0.91,1,True,0.04179873069127401
pi2,SVR(kernel='linear'),0.02,0.97,pi3,0.04,0.03,0.68,1,True,0.04179873069127401
pi3,SVR(kernel='linear'),0.02,0.93,pi2,0.04,0.03,0.58,1,True,0.04179873069127401
pi3,SVR(kernel='linear'),0.02,0.93,pi4,0.01,0.04,0.3,1,True,0.04179873069127401
pi4,"SVR(C=0.1, kernel='linear')",0.01,0.92,pi3,0.01,0.04,0.91,1,True,0.04179873069127401
pi2,"SVR(C=1, epsilon=0.5)",0.0,0.34,pi3,0.11,0.03,0.31,2,True,0.03805468479792277
pi3,"SVR(C=1, epsilon=0.5)",0.01,0.63,pi2,0.31,0.03,0.74,2,True,0.03805468479792277
pi3,"SVR(C=1, epsilon=0.5)",0.01,0.63,pi5,0.58,0.04,0.77,2,True,0.03805468479792277
pi5,"SVR(C=1, epsilon=0.2)",0.01,0.39,pi3,0.05,0.04,0.76,2,True,0.03805468479792277
pi2,"SVR(C=10, epsilon=0.5, kernel='linear')",0.02,0.26,pi3,0.16,0.03,0.31,2,True,0.03805468479792277
pi3,"SVR(C=1, epsilon=0.5, kernel='linear')",0.01,0.48,pi2,0.26,0.03,0.74,2,True,0.03805468479792277
pi3,"SVR(C=1, epsilon=0.5, kernel='linear')",0.01,0.48,pi5,0.17,0.04,0.77,2,True,0.03805468479792277
pi5,"SVR(C=0.01, kernel='linear')",0.01,0.34,pi3,0.13,0.04,0.76,2,True,0.03805468479792277
pi2,SVR(C=10),0.01,0.95,pi4,0.03,0.02,0.94,3,True,0.04567304253578186
pi4,SVR(C=10),0.01,0.99,pi2,0.04,0.02,0.73,3,True,0.04567304253578186
pi2,SVR(kernel='linear'),0.0,0.95,pi4,0.03,0.02,0.94,3,True,0.04567304253578186
pi4,SVR(kernel='linear'),0.0,0.98,pi2,0.03,0.02,0.73,3,True,0.04567304253578186
