model_node,model,train_time,optimisation_time,model_r2,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,kernel,experiment,std,asmmd
pi2,SVR(C=10),0.02,0.3,0.99,pi3,0.08,0.9152273724034662,0.9807852551315737,0.05,0.67,rbf,1,True,0.051217079162597656
pi3,SVR(),0.02,0.33,0.98,pi2,0.04,0.9386130471041731,0.9930924987017481,0.05,0.68,rbf,1,True,0.051217079162597656
pi3,SVR(),0.02,0.33,0.98,pi4,0.07,0.9113160965879274,0.9595530451110589,0.03,0.3,rbf,1,True,0.051217079162597656
pi4,SVR(),0.02,0.32,0.96,pi3,0.02,0.9400944373133389,0.9807852551315737,0.03,0.89,rbf,1,True,0.051217079162597656
pi2,"SVR(C=10, kernel='linear')",0.03,0.28,0.99,pi3,0.07,0.9250372864103479,0.9257424181954612,0.05,0.67,linear,1,True,0.051217079162597656
pi3,SVR(kernel='linear'),0.02,0.3,0.93,pi2,0.06,0.9892832596600964,0.990190183086156,0.05,0.68,linear,1,True,0.051217079162597656
pi3,SVR(kernel='linear'),0.02,0.3,0.93,pi4,0.0,0.9281152641155648,0.9251225219262139,0.03,0.3,linear,1,True,0.051217079162597656
pi4,"SVR(C=10, kernel='linear')",0.03,0.3,0.93,pi3,0.02,0.90976091560301,0.9257424181954612,0.03,0.89,linear,1,True,0.051217079162597656
pi2,SVR(C=10),0.01,0.28,0.86,pi3,0.42,0.44362114063007185,0.673401381820629,0.03,0.33,rbf,2,True,0.042843023935953774
pi3,"SVR(C=1, epsilon=0.5)",0.01,0.43,0.67,pi2,0.68,-0.010162739911800278,0.8649888835590834,0.03,0.81,rbf,2,True,0.042843023935953774
pi2,"SVR(C=0.1, kernel='linear')",0.01,0.29,0.79,pi3,0.39,0.3992890936299275,0.5793489900237686,0.03,0.33,linear,2,True,0.042843023935953774
pi3,"SVR(C=1, epsilon=0.5, kernel='linear')",0.01,0.39,0.58,pi2,0.75,-0.16766619396120963,0.7907936334623913,0.03,0.81,linear,2,True,0.042843023935953774
pi2,SVR(),0.01,0.23,0.96,pi4,0.02,0.9809028004369398,0.9875899970439235,0.02,0.98,rbf,3,True,0.024857819080352783
pi4,SVR(C=10),0.01,0.17,0.99,pi2,0.03,0.9546195855797573,0.9598218563307964,0.02,0.78,rbf,3,True,0.024857819080352783
pi2,SVR(kernel='linear'),0.0,0.16,0.96,pi4,0.02,0.9838177947050911,0.9833508245773134,0.02,0.98,linear,3,True,0.024857819080352783
pi4,"SVR(C=0.1, kernel='linear')",0.0,0.17,0.98,pi2,0.02,0.961397854018359,0.9607025323716233,0.02,0.78,linear,3,True,0.024857819080352783
