model_node,model,train_time,optimisation_time,score,test_node,discrepancy,mmd_score,ocsvm_score,experiment,std,asmmd
pi2,SVR(C=10),0.02,0.31,0.99,pi3,0.08,0.03,0.68,1,True,0.040913899739583336
pi3,SVR(C=10),0.03,0.36,0.98,pi2,0.05,0.03,0.58,1,True,0.040913899739583336
pi3,SVR(C=10),0.03,0.36,0.98,pi4,0.09,0.04,0.3,1,True,0.040913899739583336
pi4,SVR(),0.02,0.33,0.94,pi3,0.0,0.04,0.92,1,True,0.040913899739583336
pi2,"SVR(C=0.1, kernel='linear')",0.01,0.35,0.99,pi3,0.06,0.03,0.68,1,True,0.040913899739583336
pi3,SVR(kernel='linear'),0.02,0.35,0.93,pi2,0.05,0.03,0.58,1,True,0.040913899739583336
pi3,SVR(kernel='linear'),0.02,0.35,0.93,pi4,0.07,0.04,0.3,1,True,0.040913899739583336
pi4,SVR(kernel='linear'),0.02,0.38,0.86,pi3,0.07,0.04,0.92,1,True,0.040913899739583336
pi2,"SVR(C=1, epsilon=0.5)",0.01,0.36,0.33,pi3,0.1,0.03,0.31,2,True,0.03075323502222697
pi3,"SVR(C=10, epsilon=0.5)",0.01,0.4,0.67,pi2,0.44,0.03,0.74,2,True,0.03075323502222697
pi3,"SVR(C=10, epsilon=0.5)",0.01,0.4,0.67,pi5,0.94,0.03,0.72,2,True,0.03075323502222697
pi5,"SVR(C=10, epsilon=0.5)",0.01,0.37,0.42,pi3,0.05,0.03,0.75,2,True,0.03075323502222697
pi2,"SVR(C=10, epsilon=0.5, kernel='linear')",0.01,0.41,0.24,pi3,0.24,0.03,0.31,2,True,0.03075323502222697
pi3,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.0,0.43,0.53,pi2,0.34,0.03,0.74,2,True,0.03075323502222697
pi3,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.0,0.43,0.53,pi5,0.23,0.03,0.72,2,True,0.03075323502222697
pi5,"SVR(C=0.1, kernel='linear')",0.01,0.64,0.33,pi3,0.2,0.03,0.75,2,True,0.03075323502222697
pi2,SVR(C=10),0.01,0.27,0.95,pi4,0.03,0.02,0.94,3,True,0.06772247552871705
pi4,SVR(C=10),0.01,0.17,0.99,pi2,0.04,0.02,0.72,3,True,0.06772247552871705
pi4,SVR(C=10),0.01,0.17,0.99,pi5,0.64,0.07,0.38,3,True,0.06772247552871705
pi5,"SVR(C=10, epsilon=0.5)",0.0,0.21,0.58,pi4,0.1,0.07,0.79,3,True,0.06772247552871705
pi2,SVR(kernel='linear'),0.0,0.17,0.95,pi4,0.03,0.02,0.94,3,True,0.06772247552871705
pi4,"SVR(C=0.1, kernel='linear')",0.0,0.17,0.98,pi2,0.03,0.02,0.72,3,True,0.06772247552871705
pi4,"SVR(C=0.1, kernel='linear')",0.0,0.17,0.98,pi5,0.55,0.07,0.38,3,True,0.06772247552871705
pi5,"SVR(C=10, epsilon=0.5, kernel='linear')",0.0,0.21,0.5,pi4,0.32,0.07,0.79,3,True,0.06772247552871705
