,model_node,model,train_time,optimisation_time,r2,test_node,discrepancy,mmd_score,ocsvm_score,experiment,std,asmmd,r2-d,kernel
0,pi2,SVR(C=10),0.02,0.33,0.99,pi3,0.08,0.03,0.7,1,True,0.044724484,0.91,rbf
1,pi3,SVR(C=10),0.02,0.38,0.98,pi2,0.06,0.03,0.58,1,True,0.044724484,0.9199999999999999,rbf
2,pi2,SVR(kernel='linear'),0.01,0.26,0.99,pi3,0.06,0.03,0.7,1,True,0.044724484,0.9299999999999999,linear
3,pi3,"SVR(C=10, kernel='linear')",0.03,0.34,0.93,pi2,0.05,0.03,0.58,1,True,0.044724484,0.88,linear
4,pi2,"SVR(C=1, epsilon=0.5)",0.01,0.39,0.33,pi3,0.08,0.03,0.32,2,True,0.044055065,0.25,rbf
5,pi3,"SVR(C=10, epsilon=0.5)",0.01,0.4,0.66,pi2,0.45,0.03,0.73,2,True,0.044055065,0.21000000000000002,rbf
6,pi2,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.0,0.41,0.23,pi3,0.22,0.03,0.32,2,True,0.044055065,0.010000000000000009,linear
7,pi3,"SVR(C=1, epsilon=0.5, kernel='linear')",0.0,0.4,0.51,pi2,0.31,0.03,0.73,2,True,0.044055065,0.2,linear
8,pi2,SVR(C=10),0.01,0.24,0.95,pi4,0.03,0.01,0.94,3,True,0.013065994,0.9199999999999999,rbf
9,pi4,SVR(C=10),0.01,0.17,0.99,pi2,0.04,0.01,0.72,3,True,0.013065994,0.95,rbf
10,pi2,"SVR(C=10, kernel='linear')",0.01,0.16,0.95,pi4,0.03,0.01,0.94,3,True,0.013065994,0.9199999999999999,linear
11,pi4,"SVR(C=0.1, kernel='linear')",0.0,0.16,0.98,pi2,0.03,0.01,0.72,3,True,0.013065994,0.95,linear
