model_node,model,score,test_node,discrepancy,method,std,experiment,threshold
pi2,"SVR(C=10, epsilon=0.5)",0.989614751260588,pi4,0.09544480429311286,MMD,False,1,5.73
pi4,"SVR(C=100, epsilon=1)",0.9586609362042302,pi2,0.06594590277393375,MMD,False,1,5.73
pi2,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.9866143536892499,pi4,0.06797428306188757,MMD,False,1,5.73
pi4,"SVR(C=0.1, epsilon=1, kernel='linear')",0.9163503408152665,pi2,0.058902215972220784,MMD,False,1,5.73
pi2,LinearRegression(),0.9866985781593319,pi4,0.0691678097496995,MMD,False,1,5.73
pi4,LinearRegression(),0.921566081240157,pi2,0.06133894308875154,MMD,False,1,5.73
pi2,SVR(C=10),0.9898721998336949,pi4,0.09187022688361834,MMD,True,1,5.73
pi4,"SVR(C=100, epsilon=0.2)",0.9624018703234329,pi2,0.07654280999863283,MMD,True,1,5.73
pi2,"SVR(C=0.1, kernel='linear')",0.9866960441661993,pi4,0.06903006106154452,MMD,True,1,5.73
pi4,"SVR(C=0.1, epsilon=0.2, kernel='linear')",0.9184434609900944,pi2,0.06115022058791597,MMD,True,1,5.73
pi2,LinearRegression(),0.9866985723503288,pi4,0.06916780166400482,MMD,True,1,5.73
pi4,LinearRegression(),0.9215660522733565,pi2,0.06133899967274692,MMD,True,1,5.73
pi2,"SVR(C=10, epsilon=0.5)",0.989614751260588,pi4,0.09544480429311286,OCSVM,False,1,0.89
pi4,"SVR(C=100, epsilon=1)",0.9586609362042302,pi2,0.06594590277393375,OCSVM,False,1,0.64
pi4,"SVR(C=100, epsilon=1)",0.9586609362042302,pi3,0.28213534984948474,OCSVM,False,1,0.1
pi3,"SVR(C=100, epsilon=0.2)",0.9793373603145373,pi4,4.72486706954007,OCSVM,False,1,0.69
pi3,"SVR(C=100, epsilon=0.2)",0.9793373603145373,pi5,1.5374560719968198,OCSVM,False,1,1.0
pi5,"SVR(C=100, epsilon=1)",0.3609307807034332,pi3,1.008667853040416,OCSVM,False,1,0.21
pi2,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.9866143536892499,pi4,0.06797428306188757,OCSVM,False,1,0.89
pi4,"SVR(C=0.1, epsilon=1, kernel='linear')",0.9163503408152665,pi2,0.058902215972220784,OCSVM,False,1,0.64
pi4,"SVR(C=0.1, epsilon=1, kernel='linear')",0.9163503408152665,pi3,0.082066867030955,OCSVM,False,1,0.1
pi3,"SVR(C=100, epsilon=1, kernel='linear')",0.9221176716875097,pi4,0.48755626665585905,OCSVM,False,1,0.69
pi3,"SVR(C=100, epsilon=1, kernel='linear')",0.9221176716875097,pi5,1.3575631299827944,OCSVM,False,1,1.0
pi5,"SVR(C=10, epsilon=1, kernel='linear')",0.18625362943978596,pi3,0.33442576807114144,OCSVM,False,1,0.21
pi2,LinearRegression(),0.9866985781593319,pi4,0.0691678097496995,OCSVM,False,1,0.89
pi4,LinearRegression(),0.921566081240157,pi2,0.06133894308875154,OCSVM,False,1,0.64
pi4,LinearRegression(),0.921566081240157,pi3,0.14485355965110658,OCSVM,False,1,0.1
pi3,LinearRegression(),0.9225797213189965,pi4,0.5612507679147533,OCSVM,False,1,0.69
pi3,LinearRegression(),0.9225797213189965,pi5,1.4021596519262411,OCSVM,False,1,1.0
pi5,LinearRegression(),0.31192701790348565,pi3,0.0339844322408831,OCSVM,False,1,0.21
pi2,SVR(C=10),0.9898721998336949,pi4,0.09187022688361834,OCSVM,True,1,0.89
